s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.0336328E-002, 1.0472987E-002,-2.0390341E-003, 5.8285194E-003,-2.5701213E-003, 0.0000000E+000,-1.5803180E-004, 2.0000000E+001,-1.5653019E-004, 2.0000000E+001,-1.3639530E-004, 2.0000000E+001,-2.3743783E-004, 2.0000000E+001,-7.1927466E-005, 2.0000000E+001,-4.1143776E-004, 2.0000000E+001,-2.5460081E-004,-7.3621869E-005,-4.1784202E-004, 5.4824616E-005, 5.5122191E-005, 0.0000000E+000
 5.0501017E-001, 2.0000668E+001, 2.0000013E+001, 1.9999995E+001, 1.9999996E+001, 1.9999998E+001, 1.9999998E+001, 1.9999995E+001, 2.0000000E+001, 2.0000003E+001, 1.9999997E+001, 5.7695564E-003, 5.2065541E-003,-6.6796729E-005, 4.1113436E-003,-4.4145852E-005, 1.6425177E-003, 2.2452753E-003, 2.0000035E+001,-6.1895649E-007, 2.0000000E+001,-1.3100143E-006, 2.0000000E+001,-2.6288214E-006, 2.0000000E+001,-5.0825574E-007, 2.0000000E+001,-7.5730996E-006, 1.9999999E+001,-2.4591992E-006,-5.0102616E-007,-7.1034942E-006, 4.5556448E-005, 5.1024555E-005, 1.4806474E-001
 1.0035380E+000, 2.0154660E+001, 2.0000482E+001, 1.9999983E+001, 1.9999973E+001, 1.9999973E+001, 1.9999972E+001, 1.9999969E+001, 1.9999973E+001, 1.9999977E+001, 1.9999972E+001, 1.4766001E-002, 1.2065975E-002, 1.1341232E-002, 1.2344697E-002, 1.1236385E-002, 1.1565324E-002, 1.4259934E-002, 2.0000640E+001, 1.1544815E-005, 2.0000000E+001, 2.4952199E-007, 2.0000000E+001,-1.7576425E-007, 2.0000000E+001,-1.6464856E-007, 2.0000000E+001,-2.0426934E-007, 1.9999999E+001,-1.7500428E-007,-1.7942737E-007,-1.5717066E-007, 2.7149904E-004, 2.6163482E-004, 4.6311853E-001
 1.5016863E+000, 1.1372644E+002, 2.3168352E+001, 1.9999916E+001, 1.9999851E+001, 1.9999852E+001, 1.9999846E+001, 1.9999845E+001, 1.9999849E+001, 1.9999851E+001, 1.9999849E+001, 5.3230824E-002, 4.4219925E-002, 4.4535664E-002, 4.4584151E-002, 4.4105858E-002, 4.4233949E-002, 7.9167498E-002, 2.0002782E+001, 2.2422003E-005, 2.0000002E+001, 4.0493271E-007, 2.0000000E+001,-8.8503361E-007, 2.0000000E+001,-8.8746617E-007, 2.0000000E+001,-8.9535192E-007, 1.9999999E+001,-8.6969862E-007,-8.7828141E-007,-8.4225061E-007, 9.8312201E-004, 9.8188938E-004, 6.3518664E-001
 2.0008143E+000, 1.0974607E+002, 7.1776419E+001, 2.3414468E+001, 1.9999488E+001, 1.9999482E+001, 1.9999482E+001, 1.9999481E+001, 1.9999484E+001, 1.9999479E+001, 1.9999482E+001, 4.8408222E-001, 1.1710370E-001, 1.1631413E-001, 1.1635042E-001, 1.1620845E-001, 1.1608143E-001, 3.4662515E-001, 2.0019994E+001, 5.8388360E-005, 2.0000004E+001, 3.7592992E-007, 2.0000000E+001,-2.7619342E-006, 2.0000000E+001,-2.7721779E-006, 2.0000000E+001,-2.7708336E-006, 1.9999999E+001,-2.7055999E-006,-2.7233475E-006,-2.6962102E-006, 2.5381882E-003, 2.5374529E-003, 8.7508681E-001
 2.5001667E+000, 1.7978561E+002, 6.8279053E+001, 6.7534464E+001, 2.3083755E+001, 1.9998641E+001, 1.9998642E+001, 1.9998640E+001, 1.9998642E+001, 1.9998643E+001, 1.9998642E+001, 8.4837739E-001, 2.8841409E-001, 2.4329575E-001, 2.4337325E-001, 2.4321890E-001, 2.4336497E-001, 7.0140944E-001, 2.0065166E+001, 8.5940533E-004, 2.0000025E+001, 4.8197571E-005, 2.0000001E+001,-6.5931740E-006, 1.9999999E+001,-6.7406638E-006, 1.9999999E+001,-6.7320473E-006, 1.9999999E+001,-6.4708498E-006,-6.5720106E-006,-6.5609689E-006, 5.1693766E-003, 5.2103948E-003, 1.0774975E+000
 3.0003985E+000, 3.1246341E+002, 1.0607312E+002, 6.1185081E+001, 6.0692437E+001, 3.5780816E+001, 2.0290334E+001, 1.9997060E+001, 1.9997061E+001, 1.9997062E+001, 1.9997063E+001, 8.7570417E-001, 1.0719258E+000, 4.4330138E-001, 4.3173454E-001, 4.3077419E-001, 4.3065029E-001, 9.9301590E-001, 2.0108327E+001, 3.0382960E-001, 2.0010362E+001, 9.3507645E-002, 2.0001274E+001, 6.1101771E-006, 1.9999999E+001,-1.1858128E-005, 1.9999999E+001,-1.3679096E-005, 1.9999998E+001, 3.1750682E-006,-1.1775646E-005,-1.3335542E-005, 8.6530271E-003, 9.0549221E-003, 1.5434923E+000
 3.5007796E+000, 2.8250111E+002, 7.8057150E+001, 8.9244597E+001, 8.5253415E+001, 6.6872577E+001, 5.4335959E+001, 3.4068180E+001, 2.3191260E+001, 1.9994507E+001, 1.9994511E+001, 7.1923909E-001, 1.2161317E+000, 1.2531720E+000, 8.6973037E-001, 6.7811722E-001, 6.5058537E-001, 4.2706856E-001, 2.0162701E+001, 5.7195564E-001, 2.0043526E+001, 3.8493369E-001, 2.0021675E+001, 4.7806954E-002, 2.0000664E+001, 6.6223664E-004, 2.0000006E+001,-8.9212557E-006, 1.9999997E+001, 5.4269209E-002, 5.4064021E-003,-1.0874964E-005, 1.2531790E-002, 1.3265508E-002, 1.2950675E+000
 4.0005225E+000, 7.2934832E+002, 9.6785333E+001, 4.1900783E+001, 4.5370664E+001, 5.7483153E+001, 6.5082715E+001, 6.0936529E+001, 5.3740416E+001, 4.7088980E+001, 3.6861391E+001, 1.0383678E+000, 1.0076826E+000, 1.2303842E+000, 1.2538741E+000, 1.1469295E+000, 1.0391594E+000, 3.3146598E-001, 2.0186839E+001, 1.9528771E-001, 2.0069212E+001, 2.8942389E-001, 2.0046112E+001, 2.8199191E-001, 2.0014041E+001, 2.5191814E-001, 2.0008090E+001, 6.3093210E-002, 2.0000996E+001, 2.7781578E-001, 2.6528352E-001, 1.1841845E-001, 1.6695219E-002, 1.5698514E-002, 1.6813200E+000
