s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3380655E-006,-4.2178828E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3380697E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0035380E+000, 3.0457409E-001, 0.0000000E+000,-9.9814102E-002, 2.3107669E-003,-6.1017058E-002,-2.0961650E-005, 0.0000000E+000, 0.0000000E+000, 1.4477485E-001, 1.4603273E-001, 0.0000000E+000, 6.8708507E-006, 0.0000000E+000
 2.0008142E+000, 7.5525457E-001, 0.0000000E+000,-2.2675478E-001, 4.1395059E-003,-2.7449556E-001,-5.5361776E-005, 0.0000000E+000, 0.0000000E+000, 2.5819665E-001, 2.5808836E-001, 0.0000000E+000, 2.0485933E-005, 0.0000000E+000
 3.0003984E+000, 1.3106999E+000, 0.0000000E+000,-3.9182141E-001, 8.3663397E-003,-4.0885491E-001,-8.1403122E-005, 0.0000000E+000, 0.0000000E+000, 5.1907023E-001, 5.1830846E-001, 0.0000000E+000, 3.4085431E-005, 0.0000000E+000
 4.0005226E+000, 1.4880705E+000, 0.0000000E+000,-4.5729593E-001, 6.6528703E-003,-5.7773499E-001,-9.4167966E-005, 0.0000000E+000, 0.0000000E+000, 4.5967989E-001, 4.5959830E-001, 0.0000000E+000, 4.7711922E-005, 0.0000000E+000
 5.0006771E+000, 2.5462766E+000, 0.0000000E+000,-7.8006709E-001,-4.2184123E-001,-8.6221105E-001,-1.1941787E-004, 0.0000000E+000, 0.0000000E+000, 4.9732864E-001, 4.8203778E-001, 0.0000000E+000, 6.1338241E-005, 0.0000000E+000
 6.0002418E+000, 2.2997032E+000, 0.0000000E+000,-7.3537378E-001,-8.3373736E-001,-9.0303200E-001,-1.1047742E-004, 0.0000000E+000, 0.0000000E+000,-1.4606502E-001,-1.7255047E-001, 0.0000000E+000, 7.4964068E-005, 0.0000000E+000
 7.0007286E+000, 2.4500622E+000, 0.0000000E+000,-8.1503559E-001,-7.4330933E-001,-9.6450321E-001,-1.0363866E-004, 0.0000000E+000, 0.0000000E+000,-5.3540692E-002,-7.2889587E-002, 0.0000000E+000, 8.8589663E-005, 0.0000000E+000
 8.0002651E+000, 2.4896681E+000, 0.0000000E+000,-8.2812287E-001,-6.5639142E-001,-8.9709134E-001,-6.9140174E-005, 0.0000000E+000, 0.0000000E+000, 1.2300140E-001, 1.0799333E-001, 0.0000000E+000, 1.0221623E-004, 0.0000000E+000
