s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7623431E-007,-2.6966336E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7626128E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0094999E+000, 3.1885735E-001, 0.0000000E+000,-1.2807724E-001, 2.9179759E-003,-1.9040330E-002,-2.1104184E-005, 0.0000000E+000, 0.0000000E+000, 1.6730023E-001, 1.7463665E-001, 0.0000000E+000, 7.0072842E-006, 0.0000000E+000
 2.0057125E+000, 9.2261528E-001, 0.0000000E+000,-3.1329154E-001, 8.4175051E-003,-1.1172547E-001,-5.9625313E-005, 0.0000000E+000, 0.0000000E+000, 5.0303868E-001, 5.0595615E-001, 0.0000000E+000, 2.0609377E-005, 0.0000000E+000
 3.0026891E+000, 1.4621410E+000, 0.0000000E+000,-4.4647029E-001, 1.2419072E-002,-2.8798062E-001,-9.3819355E-005, 0.0000000E+000, 0.0000000E+000, 7.3462855E-001, 7.4001532E-001, 0.0000000E+000, 3.4164506E-005, 0.0000000E+000
 4.0039415E+000, 2.0749801E+000, 0.0000000E+000,-6.3633062E-001,-4.4491472E-001,-5.8061356E-001,-1.2888479E-004, 0.0000000E+000, 0.0000000E+000, 4.3184624E-001, 4.1299235E-001, 0.0000000E+000, 4.7766578E-005, 0.0000000E+000
 5.0028267E+000, 2.6558944E+000, 0.0000000E+000,-7.7740359E-001,-9.4509339E-001,-6.8940843E-001,-1.5623024E-004, 0.0000000E+000, 0.0000000E+000, 2.8593425E-001, 2.4383274E-001, 0.0000000E+000, 6.1401647E-005, 0.0000000E+000
 6.0006638E+000, 3.0906483E+000, 0.0000000E+000,-9.2067175E-001,-1.1560664E+000,-8.1603836E-001,-1.8408624E-004, 0.0000000E+000, 0.0000000E+000, 2.4098801E-001, 1.9768769E-001, 0.0000000E+000, 7.5000126E-005, 0.0000000E+000
 7.0006328E+000, 3.0674079E+000, 0.0000000E+000,-9.0362203E-001,-1.3736120E+000,-8.3575287E-001,-1.9521389E-004, 0.0000000E+000, 0.0000000E+000, 5.9816587E-003,-4.5774152E-002, 0.0000000E+000, 8.8610494E-005, 0.0000000E+000
 8.0010710E+000, 3.5462173E+000, 0.0000000E+000,-1.0830572E+000,-1.5163414E+000,-9.0297446E-001,-1.8605309E-004, 0.0000000E+000, 0.0000000E+000, 1.0837217E-001, 4.3658257E-002, 0.0000000E+000, 1.0224081E-004, 0.0000000E+000
 9.0004730E+000, 4.7834904E+000, 0.0000000E+000,-1.4137930E+000,-1.7212590E+000,-1.0154733E+000,-2.0809987E-004, 0.0000000E+000, 0.0000000E+000, 6.8875058E-001, 6.3275710E-001, 0.0000000E+000, 1.1586933E-004, 0.0000000E+000
 1.0004268E+001, 4.8579602E+000, 0.0000000E+000,-1.4710514E+000,-2.6400542E+000,-1.3273811E+000,-1.7820716E-004, 0.0000000E+000, 0.0000000E+000,-4.8281798E-001,-5.8070471E-001, 0.0000000E+000, 1.2951220E-004, 0.0000000E+000
 1.1002554E+001, 4.1196892E+000, 0.0000000E+000,-1.2324498E+000,-1.7050793E+000,-1.0507561E+000,-1.5205724E-004, 0.0000000E+000, 0.0000000E+000, 2.0714467E-001, 1.3125188E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.2003407E+001, 4.9773537E+000, 0.0000000E+000,-1.4965882E+000,-2.2469516E+000,-1.1701036E+000,-1.3572615E-004, 0.0000000E+000, 0.0000000E+000, 1.5072720E-001, 6.3574537E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.3001116E+001, 5.8902793E+000, 0.0000000E+000,-1.7874945E+000,-2.3605454E+000,-1.3310348E+000,-1.2461521E-004, 0.0000000E+000, 0.0000000E+000, 4.8644709E-001, 4.1108000E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.4000369E+001, 6.3749523E+000, 0.0000000E+000,-1.9202657E+000,-2.9457617E+000,-1.4706083E+000,-1.2843924E-004, 0.0000000E+000, 0.0000000E+000, 1.3106784E-001, 3.8188078E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.5001701E+001, 5.9418722E+000, 0.0000000E+000,-1.7769597E+000,-2.8799554E+000,-1.3758209E+000,-1.2546563E-004, 0.0000000E+000, 0.0000000E+000,-3.6539893E-003,-9.0989290E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.6000978E+001, 6.1351560E+000, 0.0000000E+000,-1.8520966E+000,-2.8794529E+000,-1.4120015E+000,-1.3191966E-004, 0.0000000E+000, 0.0000000E+000, 8.6301253E-002,-8.5269400E-003, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.7002831E+001, 6.7527833E+000, 0.0000000E+000,-2.0523985E+000,-3.2389682E+000,-1.5818885E+000,-1.3823377E-004, 0.0000000E+000, 0.0000000E+000, 2.0530213E-003,-1.2061012E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.8000793E+001, 5.5976436E+000, 0.0000000E+000,-1.7099924E+000,-2.8327045E+000,-1.4262762E+000,-1.3359670E-004, 0.0000000E+000, 0.0000000E+000,-2.7459951E-001,-3.7146308E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.9001772E+001, 6.0814050E+000, 0.0000000E+000,-1.8239677E+000,-2.7333683E+000,-1.3970327E+000,-1.3485462E-004, 0.0000000E+000, 0.0000000E+000, 2.1708550E-001, 1.2690137E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.0001459E+001, 6.3577685E+000, 0.0000000E+000,-1.9240743E+000,-3.0527780E+000,-1.4978423E+000,-1.3876288E-004, 0.0000000E+000, 0.0000000E+000,-1.7279539E-002,-1.1706475E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.1002970E+001, 5.8019610E+000, 0.0000000E+000,-1.7537025E+000,-2.9204995E+000,-1.4037246E+000,-1.3269894E-004, 0.0000000E+000, 0.0000000E+000,-1.7857165E-001,-2.7609824E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.2001663E+001, 6.3713143E+000, 0.0000000E+000,-1.8987747E+000,-3.0716289E+000,-1.4867549E+000,-1.3571847E-004, 0.0000000E+000, 0.0000000E+000, 2.7952907E-002,-8.5979787E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.3000689E+001, 5.5429614E+000, 0.0000000E+000,-1.6801095E+000,-2.9254879E+000,-1.3483945E+000,-1.3164931E-004, 0.0000000E+000, 0.0000000E+000,-3.1319454E-001,-4.1116217E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.4002350E+001, 5.6939764E+000, 0.0000000E+000,-1.6973189E+000,-2.5124370E+000,-1.2296585E+000,-1.2882092E-004, 0.0000000E+000, 0.0000000E+000, 3.3003301E-001, 2.5443317E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.5001617E+001, 6.4466433E+000, 0.0000000E+000,-1.9478765E+000,-3.4465121E+000,-1.4910003E+000,-1.3897220E-004, 0.0000000E+000, 0.0000000E+000,-3.1043715E-001,-4.3888469E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.6000582E+001, 6.0828168E+000, 0.0000000E+000,-1.8370427E+000,-2.7414433E+000,-1.4174893E+000,-1.3167466E-004, 0.0000000E+000, 0.0000000E+000, 1.7826800E-001, 8.6709827E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.7001534E+001, 6.2608016E+000, 0.0000000E+000,-1.8794163E+000,-2.6727333E+000,-1.4282243E+000,-1.3268577E-004, 0.0000000E+000, 0.0000000E+000, 3.7261449E-001, 2.8029502E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
