s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0938929E-003,-4.2430834E-003, 1.5467856E-003, 4.4728706E-003,-8.4187330E-003, 4.0511168E-003,-2.1491055E-005, 2.0000000E+001,-2.1527869E-005, 2.0000000E+001,-2.1477778E-005, 2.0000000E+001,-2.1434902E-005, 2.0000000E+001,-2.0648464E-005, 2.0000000E+001,-1.5860912E-005, 2.0000000E+001,-2.4045785E-005,-2.3291666E-005,-1.8125978E-005, 5.7046622E-005, 5.1494362E-005, 0.0000000E+000
 5.0432865E-001, 2.0000282E+001, 2.0000023E+001, 1.9999994E+001, 2.0000017E+001, 1.9999992E+001, 1.9999992E+001, 1.9999997E+001, 2.0000006E+001, 2.0000000E+001, 2.0000002E+001, 5.2086265E-003,-4.4266310E-003, 1.5653706E-003, 3.7167801E-003,-7.5805238E-003, 4.2179267E-003, 8.3680334E-004, 2.0000010E+001, 2.6770842E-005, 2.0000000E+001, 3.4879333E-006, 2.0000000E+001,-4.1541008E-009, 2.0000000E+001,-9.9102245E-008, 2.0000000E+001,-7.5222478E-008, 2.0000000E+001,-1.0268732E-007,-1.3314701E-007,-6.5328057E-008, 5.1509033E-005, 4.6832466E-005, 1.4520190E-001
 1.0094999E+000, 2.9497766E+001, 2.0002585E+001, 2.0000397E+001, 2.0000070E+001, 1.9999981E+001, 1.9999982E+001, 1.9999994E+001, 2.0000013E+001, 2.0000000E+001, 2.0000000E+001, 2.9518753E-002, 4.7647669E-003, 3.2187175E-003, 2.8929326E-003,-6.1079359E-003, 4.3545608E-003, 2.1930224E-002, 2.0000715E+001, 5.7881889E-004, 2.0000020E+001, 7.6298987E-005, 2.0000003E+001, 1.9902537E-006, 2.0000000E+001, 3.3745043E-007, 2.0000000E+001, 3.5327664E-008, 2.0000000E+001, 4.5465198E-007, 1.1462412E-007, 6.5447377E-008, 2.2972005E-004, 3.9769654E-005, 4.9222317E-001
 1.5013382E+000, 2.1014429E+002, 5.2315177E+001, 2.0002146E+001, 2.0000094E+001, 1.9999878E+001, 1.9999906E+001, 1.9999942E+001, 1.9999971E+001, 1.9999965E+001, 1.9999957E+001, 3.3682778E-001, 6.1087146E-002, 4.6999523E-002, 3.8573960E-002, 2.8970618E-002, 3.5377012E-002, 1.6148156E-001, 2.0004450E+001, 9.9270762E-004, 2.0000075E+001, 1.3039116E-004, 2.0000010E+001, 3.4869499E-006, 2.0000000E+001, 5.6619139E-007, 2.0000000E+001,-9.3338239E-009, 2.0000000E+001, 1.0611445E-006, 2.8707215E-007, 1.8622167E-008, 1.4777678E-003, 8.0331478E-004, 7.4780347E-001
 2.0057126E+000, 2.7208751E+002, 6.6038204E+001, 8.1456513E+001, 2.6380702E+001, 1.9999413E+001, 1.9999401E+001, 1.9999293E+001, 1.9999411E+001, 1.9999429E+001, 1.9999406E+001, 6.7566663E-001, 2.0153540E-001, 1.8971271E-001, 1.9567561E-001, 1.8271881E-001, 1.8634863E-001, 3.6168351E-001, 2.0032666E+001, 4.7370072E-003, 2.0000195E+001, 2.1018007E-004, 2.0000022E+001, 5.6592051E-006, 2.0000001E+001,-7.3499460E-008, 2.0000000E+001,-1.4366641E-006, 2.0000000E+001, 8.4222474E-007,-7.6630558E-007,-1.4119379E-006, 4.0881468E-003, 4.2816702E-003, 1.0930822E+000
 2.5043419E+000, 3.1951005E+002, 1.0080762E+002, 7.0531403E+001, 5.5241778E+001, 3.1018651E+001, 2.0396090E+001, 1.9997812E+001, 1.9997976E+001, 1.9998142E+001, 1.9998150E+001, 1.4213491E+000, 4.8386094E-001, 4.1496481E-001, 4.4935425E-001, 3.8714899E-001, 3.7023902E-001, 4.2629693E-001, 2.0055131E+001, 1.1218683E-001, 2.0003523E+001, 1.5398117E-002, 2.0000312E+001, 2.1578301E-005, 2.0000001E+001, 1.5219021E-006, 2.0000000E+001,-4.2129913E-006, 2.0000000E+001, 2.7136609E-006,-1.8042735E-006,-4.4106405E-006, 7.7727129E-003, 8.5624774E-003, 1.2773327E+000
 3.0026891E+000, 6.5500439E+002, 1.4911487E+002, 7.4133858E+001, 9.2531530E+001, 5.1234127E+001, 4.6026307E+001, 2.4660959E+001, 2.0123366E+001, 1.9995432E+001, 1.9995599E+001, 1.7438888E+000, 1.3367277E+000, 6.0568233E-001, 6.7972343E-001, 6.5624100E-001, 6.4681357E-001, 7.9839157E-001, 2.0095778E+001, 4.9461436E-001, 2.0025592E+001, 1.4110482E-001, 2.0004967E+001, 3.3927445E-002, 2.0000458E+001, 6.4043434E-004, 2.0000007E+001,-2.4598680E-006, 1.9999999E+001, 2.1112751E-003, 8.9097637E-005, 3.0458201E-006, 1.2405606E-002, 1.3943896E-002, 1.6470539E+000
 3.5034759E+000, 7.8813027E+002, 2.5306429E+002, 1.6731910E+002, 1.3395104E+002, 1.0808750E+002, 9.4253984E+001, 7.8551782E+001, 6.5279126E+001, 4.8660696E+001, 3.7279328E+001, 1.9594034E+000, 2.2843975E+000, 1.8031781E+000, 1.4417327E+000, 1.3157687E+000, 1.1321737E+000, 1.8764827E+000, 2.0188819E+001, 8.0464132E-001, 2.0071889E+001, 6.3679062E-001, 2.0034542E+001, 5.1601719E-001, 2.0019440E+001, 3.5757819E-001, 2.0010672E+001, 1.5554548E-001, 2.0003086E+001, 8.4056314E-002, 9.0568547E-002, 4.1932923E-002, 1.7625605E-002, 1.7895330E-002, 2.1602122E+000
 4.0039415E+000, 7.3584554E+002, 2.5572755E+002, 1.8036700E+002, 1.4002537E+002, 1.1267444E+002, 9.1708509E+001, 8.1338699E+001, 7.5653308E+001, 7.4050827E+001, 7.5937299E+001, 1.4649019E+000, 2.2700404E+000, 2.2617856E+000, 1.7644966E+000, 1.5345860E+000, 1.2567236E+000, 2.5863464E+000, 2.0379794E+001, 8.4107243E-001, 2.0133780E+001, 7.0753254E-001, 2.0078775E+001, 5.7992565E-001, 2.0061835E+001, 5.1281319E-001, 2.0046838E+001, 4.0285667E-001, 2.0029226E+001, 1.9670079E-001, 2.0387723E-001, 2.2796791E-001, 2.0284841E-002, 2.0000059E-002, 1.9896933E+000
