s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 4.5000029E+000, 4.9750035E+002, 1.7266230E+002, 8.9783080E+001, 5.5292139E+001, 5.5348559E+001, 6.2803780E+001, 6.9214782E+001, 6.4447135E+001, 5.9409409E+001, 5.7341876E+001, 1.2579471E+000, 1.1035849E+000, 1.1770988E+000, 1.3480692E+000, 1.1662796E+000, 1.0529969E+000, 1.5431639E+000, 2.0238640E+001, 1.6259758E-001, 2.0115835E+001, 2.7950218E-001, 2.0090594E+001, 5.2421425E-001, 2.0069213E+001, 4.3149796E-001, 2.0043938E+001, 3.4606010E-001, 2.0024113E+001, 3.7453167E-001, 4.0975475E-001, 3.3864758E-001, 1.8236155E-002, 1.7604444E-002, 2.0923248E+000
 5.0001003E+000, 6.5397398E+002, 2.0524373E+002, 1.7253236E+002, 1.0951175E+002, 8.5157648E+001, 7.0152662E+001, 5.1618549E+001, 5.8386880E+001, 6.0236938E+001, 6.0929118E+001, 1.1719510E+000, 1.7132634E+000, 1.3929916E+000, 1.4467848E+000, 1.0878750E+000, 1.0230498E+000, 1.6626915E+000, 2.0369720E+001, 7.3452615E-001, 2.0147743E+001, 4.9820532E-001, 2.0112338E+001, 2.5186992E-001, 2.0096787E+001, 3.2897418E-001, 2.0072094E+001, 4.0187935E-001, 2.0051605E+001, 3.2593084E-001, 3.8229706E-001, 3.7098986E-001, 1.8643044E-002, 1.8692759E-002, 2.0425086E+000
 5.5009561E+000, 4.9029007E+002, 2.1677649E+002, 1.4161202E+002, 1.0256069E+002, 7.8983806E+001, 7.1758114E+001, 6.7412471E+001, 6.8834548E+001, 6.2062335E+001, 5.9702703E+001, 1.0817385E+000, 1.7446614E+000, 1.8842779E+000, 1.7393639E+000, 1.4056801E+000, 1.2928237E+000, 1.8844080E+000, 2.0475045E+001, 6.6703886E-001, 2.0196940E+001, 3.8873386E-001, 2.0147512E+001, 4.9301628E-001, 2.0125775E+001, 4.0727356E-001, 2.0094746E+001, 3.2057848E-001, 2.0073380E+001, 3.2088533E-001, 3.9338701E-001, 3.5867914E-001, 1.9083214E-002, 1.8636303E-002, 2.0709612E+000
 6.0008785E+000, 9.1764017E+002, 3.3427916E+002, 1.6245507E+002, 1.2844549E+002, 1.0345378E+002, 8.9129130E+001, 6.8257015E+001, 6.5287499E+001, 5.6941087E+001, 5.8702845E+001, 1.3785771E+000, 1.9568244E+000, 1.9917616E+000, 1.4672849E+000, 1.6895338E+000, 1.2416120E+000, 1.9500289E+000, 2.0608197E+001, 7.7616468E-001, 2.0249055E+001, 6.0808596E-001, 2.0186116E+001, 5.1166114E-001, 2.0155492E+001, 3.5876289E-001, 2.0122017E+001, 3.5359974E-001, 2.0097990E+001, 2.6091301E-001, 4.1227357E-001, 3.3337391E-001, 1.8908253E-002, 1.8740835E-002, 2.1703577E+000
 6.5000113E+000, 9.4205788E+002, 3.0681707E+002, 1.9781515E+002, 1.4949119E+002, 1.1938045E+002, 9.4803560E+001, 7.2427775E+001, 7.1216376E+001, 6.1361153E+001, 5.9987238E+001, 1.3399806E+000, 2.1565590E+000, 1.9128653E+000, 1.6134542E+000, 1.7682179E+000, 1.3942836E+000, 2.5575303E+000, 2.0776677E+001, 1.1378680E+000, 2.0314330E+001, 7.8895478E-001, 2.0231639E+001, 4.5811019E-001, 2.0191132E+001, 3.9910804E-001, 2.0149603E+001, 3.6096598E-001, 2.0122214E+001, 2.6287076E-001, 3.9888368E-001, 3.9712794E-001, 1.8455597E-002, 1.8832961E-002, 2.4330562E+000
 7.0005091E+000, 9.2099001E+002, 5.0837239E+002, 2.5023885E+002, 1.6095081E+002, 1.1615618E+002, 1.0580478E+002, 7.3579102E+001, 7.4924603E+001, 6.1790078E+001, 5.8575786E+001, 1.8308741E+000, 2.3710802E+000, 2.0130404E+000, 1.4388616E+000, 1.5365717E+000, 1.3982618E+000, 2.9400341E+000, 2.0982703E+001, 8.4007272E-001, 2.0379066E+001, 7.9958091E-001, 2.0287061E+001, 6.5077218E-001, 2.0229369E+001, 4.7384600E-001, 2.0178782E+001, 3.8182693E-001, 2.0148284E+001, 2.8951565E-001, 4.6693274E-001, 3.7446839E-001, 1.8263369E-002, 1.8703354E-002, 2.4178675E+000
 7.5011011E+000, 8.4460949E+002, 4.4002116E+002, 2.4967393E+002, 1.6203145E+002, 1.1913032E+002, 1.0271111E+002, 8.2754687E+001, 8.3327096E+001, 7.2741377E+001, 6.8257981E+001, 1.6379862E+000, 2.3515168E+000, 2.2562548E+000, 1.4908246E+000, 1.6393395E+000, 1.3675587E+000, 2.7238170E+000, 2.1148084E+001, 9.7499110E-001, 2.0447234E+001, 7.7040017E-001, 2.0341732E+001, 6.5199528E-001, 2.0275889E+001, 5.8186664E-001, 2.0214956E+001, 3.9512713E-001, 2.0173096E+001, 4.3361271E-001, 6.3599621E-001, 5.2406412E-001, 1.9071931E-002, 1.8137442E-002, 2.3306377E+000
 8.0004006E+000, 7.2652840E+002, 6.3589898E+002, 3.2791885E+002, 1.9672138E+002, 1.3897899E+002, 1.0608968E+002, 8.2755409E+001, 7.6564148E+001, 7.6245456E+001, 7.4118829E+001, 2.0393731E+000, 2.5090281E+000, 2.1796298E+000, 1.7467281E+000, 1.4817599E+000, 1.5185990E+000, 3.5663243E+000, 2.1395539E+001, 1.2474306E+000, 2.0523282E+001, 7.6991342E-001, 2.0394187E+001, 6.5066027E-001, 2.0320773E+001, 6.0224503E-001, 2.0254999E+001, 5.0898642E-001, 2.0206914E+001, 3.5621933E-001, 5.1774081E-001, 5.4131809E-001, 1.8121436E-002, 1.8628468E-002, 2.5776993E+000
 8.5003005E+000, 7.7715809E+002, 6.9105916E+002, 3.3758428E+002, 1.8777500E+002, 1.4974338E+002, 1.3092956E+002, 8.9724959E+001, 8.3676406E+001, 7.6133008E+001, 7.1345470E+001, 2.1810993E+000, 2.6286800E+000, 2.5370223E+000, 1.7566629E+000, 1.5701571E+000, 1.5437762E+000, 6.7075800E+000, 2.1772726E+001, 1.0115132E+000, 2.0600416E+001, 8.7150892E-001, 2.0452054E+001, 9.0316453E-001, 2.0374381E+001, 6.6822426E-001, 2.0298960E+001, 4.7112861E-001, 2.0239277E+001, 3.2240721E-001, 5.4427164E-001, 5.2903470E-001, 1.8458461E-002, 1.8610695E-002, 2.8138370E+000
 9.0003932E+000, 7.2244210E+002, 8.2637660E+002, 3.7566790E+002, 2.3702534E+002, 1.5000517E+002, 1.3150870E+002, 9.0320381E+001, 9.3954093E+001, 8.5334091E+001, 8.2344868E+001, 2.2507429E+000, 2.8345337E+000, 2.4152444E+000, 1.9846163E+000, 2.1809930E+000, 1.8441430E+000, 6.1767654E+000, 2.2186641E+001, 1.5208180E+000, 2.0681993E+001, 8.3529731E-001, 2.0510252E+001, 8.5491067E-001, 2.0434114E+001, 6.5754955E-001, 2.0349128E+001, 5.8836527E-001, 2.0277200E+001, 3.9075688E-001, 6.3551708E-001, 6.4766031E-001, 1.8119735E-002, 1.8293604E-002, 2.9140293E+000
 9.5004530E+000, 6.6520215E+002, 7.9050734E+002, 3.6198413E+002, 2.2295413E+002, 1.7021793E+002, 1.3676078E+002, 9.5649254E+001, 9.7386365E+001, 8.4348785E+001, 7.3074078E+001, 2.3590913E+000, 2.7656352E+000, 2.6760491E+000, 1.7064464E+000, 2.0358461E+000, 1.7270118E+000, 1.4225868E+001, 2.2931868E+001, 1.2638900E+000, 2.0786264E+001, 8.9667033E-001, 2.0572618E+001, 8.8143118E-001, 2.0493196E+001, 7.2868094E-001, 2.0393715E+001, 4.5275024E-001, 2.0309674E+001, 4.0025076E-001, 5.7592777E-001, 6.2561191E-001, 1.8315212E-002, 1.8721547E-002, 3.3937425E+000
 1.0000062E+001, 6.4981177E+002, 7.7639039E+002, 5.0723888E+002, 3.4087301E+002, 1.8736490E+002, 1.4102603E+002, 9.2621662E+001, 9.3195936E+001, 8.5756705E+001, 8.0420238E+001, 2.2380767E+000, 3.2116564E+000, 2.5075279E+000, 2.0806571E+000, 1.9190522E+000, 1.8348668E+000, 1.3974336E+001, 2.3917266E+001, 2.1346480E+000, 2.0883938E+001, 1.0708037E+000, 2.0631275E+001, 8.4620369E-001, 2.0552140E+001, 7.3271869E-001, 2.0444327E+001, 5.6405271E-001, 2.0345840E+001, 5.1961287E-001, 7.0112860E-001, 6.0358628E-001, 1.8248983E-002, 2.0305459E-002, 4.2985048E+000
 1.0500293E+001, 6.7406635E+002, 8.3440231E+002, 4.3015321E+002, 2.6314895E+002, 2.1326334E+002, 2.1500301E+002, 1.4787481E+002, 1.5173619E+002, 1.0517633E+002, 1.0458312E+002, 1.9828359E+000, 2.9727295E+000, 3.0250364E+000, 2.3176541E+000, 2.5067363E+000, 1.8885094E+000, 1.6481094E+001, 2.5008036E+001, 1.8532900E+000, 2.1043971E+001, 1.2957110E+000, 2.0731845E+001, 1.4808426E+000, 2.0641972E+001, 9.6744772E-001, 2.0500734E+001, 7.2618053E-001, 2.0391421E+001, 7.2042869E-001, 1.1723481E+000, 9.1136908E-001, 2.1003462E-002, 1.9475528E-002, 4.1535641E+000
 1.1000351E+001, 6.1027585E+002, 9.7563268E+002, 6.4033892E+002, 4.2551020E+002, 2.6975685E+002, 1.6772211E+002, 1.2693467E+002, 1.0001454E+002, 8.3590746E+001, 7.8483960E+001, 1.9632243E+000, 3.3867314E+000, 2.9108807E+000, 2.2880537E+000, 2.2281135E+000, 1.8369501E+000, 1.8415299E+001, 2.6121354E+001, 3.2149977E+000, 2.1195100E+001, 1.2794545E+000, 2.0808355E+001, 1.0983370E+000, 2.0715013E+001, 6.4950064E-001, 2.0551076E+001, 5.3896539E-001, 2.0437714E+001, 6.4117605E-001, 7.1017865E-001, 6.2735958E-001, 2.0042489E-002, 2.1780690E-002, 5.0783325E+000
 1.1500260E+001, 6.3676439E+002, 8.2375907E+002, 6.4561109E+002, 4.8234694E+002, 3.3490757E+002, 2.7233177E+002, 1.5702423E+002, 1.5678758E+002, 1.3952566E+002, 1.2549836E+002, 1.8379148E+000, 3.5829080E+000, 3.3554323E+000, 2.1831689E+000, 2.1688505E+000, 2.1861229E+000, 1.9680120E+001, 2.7513149E+001, 3.5753434E+000, 2.1467992E+001, 2.1812925E+000, 2.0935022E+001, 1.8953554E+000, 2.0822815E+001, 1.4059941E+000, 2.0629011E+001, 1.0203393E+000, 2.0489102E+001, 9.5381482E-001, 1.3732600E+000, 1.1605898E+000, 2.1140901E-002, 2.1561157E-002, 5.2590560E+000
 1.2000551E+001, 5.9854348E+002, 8.7893668E+002, 6.5992462E+002, 3.5773864E+002, 2.7357200E+002, 2.0737136E+002, 1.3077138E+002, 1.3536698E+002, 1.0528139E+002, 1.0915890E+002, 1.5525200E+000, 3.0479388E+000, 3.0764385E+000, 2.2653816E+000, 1.8360127E+000, 1.6842151E+000, 1.8707823E+001, 2.8829464E+001, 2.6592381E+000, 2.1655552E+001, 1.6698611E+000, 2.1059088E+001, 1.2709200E+000, 2.0926913E+001, 1.0869867E+000, 2.0718147E+001, 7.2522921E-001, 2.0549346E+001, 7.8686879E-001, 1.1132564E+000, 1.0254310E+000, 2.2813847E-002, 2.1955771E-002, 5.4552536E+000
 1.2500252E+001, 6.2485727E+002, 9.1401941E+002, 7.4324052E+002, 5.0045354E+002, 2.9871722E+002, 2.2961573E+002, 1.5995927E+002, 1.5300915E+002, 1.3502913E+002, 1.0992697E+002, 1.7460712E+000, 3.4776071E+000, 3.1363842E+000, 2.0871721E+000, 1.6674370E+000, 1.9576109E+000, 1.8805316E+001, 3.0061795E+001, 4.5336403E+000, 2.1962148E+001, 2.0295173E+000, 2.1192853E+001, 1.7659073E+000, 2.1034692E+001, 1.4989113E+000, 2.0804062E+001, 8.5463954E-001, 2.0607943E+001, 7.8829039E-001, 1.2307353E+000, 1.0688017E+000, 2.1639230E-002, 2.2715319E-002, 6.0651302E+000
 1.3000468E+001, 6.3106424E+002, 9.0790844E+002, 5.4733003E+002, 4.6415253E+002, 3.4800714E+002, 2.5693596E+002, 1.6486650E+002, 1.7010957E+002, 1.5473856E+002, 1.4788262E+002, 1.4046826E+000, 3.2510559E+000, 2.9635608E+000, 2.7894790E+000, 2.5802898E+000, 2.3756149E+000, 1.7035427E+001, 3.1339536E+001, 4.7192326E+000, 2.2283599E+001, 1.9004351E+000, 2.1319769E+001, 1.5523762E+000, 2.1158575E+001, 1.4295148E+000, 2.0909143E+001, 1.2847206E+000, 2.0678935E+001, 1.2016079E+000, 1.5633853E+000, 1.5044850E+000, 2.2846710E-002, 2.2065775E-002, 5.6348041E+000
 1.3500303E+001, 5.8514226E+002, 9.0309550E+002, 6.7639753E+002, 4.4036339E+002, 3.3476769E+002, 2.8393282E+002, 1.6693357E+002, 1.4099686E+002, 1.1457421E+002, 1.0930205E+002, 1.4750675E+000, 3.1348203E+000, 3.2154988E+000, 2.5146432E+000, 1.9208071E+000, 2.0245795E+000, 1.8813298E+001, 3.2552415E+001, 3.6185916E+000, 2.2507287E+001, 2.4926224E+000, 2.1459675E+001, 2.0180975E+000, 2.1268848E+001, 1.2393288E+000, 2.0992009E+001, 8.4354788E-001, 2.0750221E+001, 8.3033544E-001, 1.0689221E+000, 1.0141602E+000, 2.2462901E-002, 2.2947378E-002, 5.6955543E+000
 1.4000146E+001, 6.5671547E+002, 8.3134570E+002, 7.7556178E+002, 6.1135559E+002, 4.1313954E+002, 3.0131940E+002, 1.9807413E+002, 1.9098848E+002, 1.7645493E+002, 1.5561057E+002, 1.4437909E+000, 3.5836714E+000, 3.4355569E+000, 2.7259526E+000, 2.3149874E+000, 2.1878315E+000, 1.7802914E+001, 3.3795109E+001, 6.9091001E+000, 2.2896096E+001, 3.0945105E+000, 2.1678545E+001, 2.4857448E+000, 2.1426566E+001, 1.9687196E+000, 2.1104561E+001, 1.5520860E+000, 2.0833931E+001, 1.1018748E+000, 1.7126145E+000, 1.2962990E+000, 2.2264009E-002, 2.2500714E-002, 6.9938180E+000
 1.4500109E+001, 6.8185497E+002, 9.0215031E+002, 7.7254827E+002, 5.3989366E+002, 3.9015727E+002, 2.6146362E+002, 1.6067424E+002, 1.7097154E+002, 1.5224795E+002, 1.4341607E+002, 1.3536741E+000, 3.5197291E+000, 3.0989286E+000, 2.6098083E+000, 2.8712244E+000, 2.5823358E+000, 1.7974947E+001, 3.5018521E+001, 8.7336199E+000, 2.3526375E+001, 3.2903853E+000, 2.1917002E+001, 1.7441298E+000, 2.1579059E+001, 1.4199429E+000, 2.1220189E+001, 1.0489338E+000, 2.0926679E+001, 1.0442629E+000, 1.5018778E+000, 1.5209833E+000, 2.2284210E-002, 2.3428124E-002, 6.6369989E+000
 1.5000457E+001, 6.3448764E+002, 7.6074424E+002, 6.8743179E+002, 5.9765432E+002, 3.8745529E+002, 3.1019650E+002, 1.8332016E+002, 1.6906662E+002, 1.4754979E+002, 1.4202692E+002, 1.2772526E+000, 3.3672768E+000, 3.3214210E+000, 2.3840322E+000, 2.6297336E+000, 2.3258646E+000, 1.4152439E+001, 3.6132180E+001, 8.0747057E+000, 2.3946610E+001, 3.2201101E+000, 2.2099939E+001, 2.0821391E+000, 2.1710287E+001, 1.3693783E+000, 2.1320804E+001, 1.2120431E+000, 2.1000286E+001, 1.0408213E+000, 1.3733195E+000, 1.1769176E+000, 2.2714764E-002, 2.3137353E-002, 6.6858376E+000
 1.5500385E+001, 7.0442404E+002, 8.5093251E+002, 6.1678212E+002, 4.2317888E+002, 3.6389474E+002, 3.0309498E+002, 2.0688880E+002, 2.0044041E+002, 1.7777903E+002, 1.5337884E+002, 1.2280730E+000, 3.0164817E+000, 3.4967780E+000, 2.7331090E+000, 2.2855626E+000, 2.3990856E+000, 2.0513835E+001, 3.7312393E+001, 7.1341810E+000, 2.4543429E+001, 3.3966059E+000, 2.2350351E+001, 2.3104607E+000, 2.1866687E+001, 1.9783032E+000, 2.1444603E+001, 1.2961431E+000, 2.1087653E+001, 1.2927562E+000, 1.7326337E+000, 1.6473403E+000, 2.4327390E-002, 2.2490174E-002, 6.3063708E+000
 1.6000778E+001, 6.2983407E+002, 8.7958767E+002, 7.1439650E+002, 4.8275387E+002, 3.1622873E+002, 2.6201894E+002, 1.6835933E+002, 1.6865256E+002, 1.4978483E+002, 1.3765456E+002, 1.4710042E+000, 3.0039658E+000, 2.9724303E+000, 2.5236201E+000, 2.0293979E+000, 2.1609118E+000, 1.6634270E+001, 3.8527490E+001, 6.8024364E+000, 2.5040921E+001, 3.9629831E+000, 2.2599671E+001, 2.1488947E+000, 2.1999180E+001, 1.4625489E+000, 2.1544970E+001, 1.0948464E+000, 2.1174971E+001, 9.4425182E-001, 1.3019316E+000, 1.1571015E+000, 2.2007369E-002, 2.3239222E-002, 6.2424170E+000
 1.6500300E+001, 6.0955445E+002, 8.8083252E+002, 7.8719497E+002, 5.4391151E+002, 3.8823593E+002, 3.1733387E+002, 1.7301428E+002, 1.6621663E+002, 1.5661313E+002, 1.5148723E+002, 1.2750115E+000, 3.4457145E+000, 3.5460715E+000, 2.3711037E+000, 2.2121676E+000, 2.1148833E+000, 1.5913033E+001, 3.9671560E+001, 6.3859401E+000, 2.5520085E+001, 2.9512849E+000, 2.2841626E+001, 2.0188024E+000, 2.2152140E+001, 1.5704650E+000, 2.1650936E+001, 1.2901896E+000, 2.1250797E+001, 1.0094778E+000, 1.3449407E+000, 1.4691080E+000, 2.3525167E-002, 2.2060910E-002, 5.8899802E+000
 1.7000549E+001, 5.6143079E+002, 8.2437315E+002, 6.5426277E+002, 4.0354590E+002, 2.8575628E+002, 2.5307445E+002, 1.5410625E+002, 1.5643949E+002, 1.3766119E+002, 1.2861894E+002, 1.0973230E+000, 2.8210216E+000, 2.9509729E+000, 2.4395131E+000, 2.3301068E+000, 2.3275330E+000, 1.8325533E+001, 4.0860084E+001, 5.0537633E+000, 2.5831771E+001, 2.3882712E+000, 2.2995779E+001, 1.4892374E+000, 2.2277542E+001, 1.2523122E+000, 2.1754438E+001, 1.0447379E+000, 2.1331714E+001, 7.3291564E-001, 1.1006495E+000, 1.1940711E+000, 2.2669155E-002, 2.3116565E-002, 5.4122465E+000
 1.7500280E+001, 5.1280956E+002, 9.6267580E+002, 7.8838523E+002, 5.6363739E+002, 4.1316560E+002, 3.3415513E+002, 1.9137170E+002, 1.9456602E+002, 1.5058571E+002, 1.3867397E+002, 1.5264650E+000, 3.4690084E+000, 3.5979804E+000, 2.5501628E+000, 2.5664446E+000, 2.3552742E+000, 1.9368416E+001, 4.2121059E+001, 5.3403878E+000, 2.6210928E+001, 2.5336866E+000, 2.3174825E+001, 2.7334171E+000, 2.2420456E+001, 1.7230617E+000, 2.1851838E+001, 1.0314273E+000, 2.1395953E+001, 7.6233195E-001, 1.3124402E+000, 1.2967445E+000, 2.1760170E-002, 2.2815695E-002, 5.9159623E+000
