s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 8.4001183E+001, 5.4057182E+000, 0.0000000E+000,-2.3462394E+000,-1.1217602E+000,-2.5826131E+000,-2.1092933E-004, 0.0000000E+000, 0.0000000E+000,-6.1917021E-001,-6.4510542E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.5000175E+001, 6.6606331E+000, 0.0000000E+000,-2.6582662E+000,-9.9544463E-001,-2.9300524E+000,-2.4901363E-004, 0.0000000E+000, 0.0000000E+000, 1.0219683E-001, 7.6620797E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.6000801E+001, 6.1124835E+000, 0.0000000E+000,-2.4158177E+000,-1.0232112E+000,-2.3348744E+000,-2.1952712E-004, 0.0000000E+000, 0.0000000E+000, 3.5871174E-001, 3.3836063E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.7000694E+001, 4.8085630E+000, 0.0000000E+000,-2.1147264E+000,-8.6815695E-001,-2.6480653E+000,-2.1955292E-004, 0.0000000E+000, 0.0000000E+000,-7.9649772E-001,-8.2260515E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.8000282E+001, 7.1775327E+000, 0.0000000E+000,-2.6397736E+000,-9.5876893E-001,-2.6195243E+000,-2.4020475E-004, 0.0000000E+000, 0.0000000E+000, 9.7986275E-001, 9.5922562E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.9001373E+001, 5.8896435E+000, 0.0000000E+000,-2.4987732E+000,-8.7954948E-001,-2.6268601E+000,-2.3111623E-004, 0.0000000E+000, 0.0000000E+000,-9.5286396E-002,-1.1577038E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.0001190E+001, 6.1804837E+000, 0.0000000E+000,-2.5210213E+000,-1.0316663E+000,-2.8121598E+000,-2.3061492E-004, 0.0000000E+000, 0.0000000E+000,-1.5635173E-001,-1.8459435E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.1000923E+001, 5.5966522E+000, 0.0000000E+000,-2.3841965E+000,-9.0874453E-001,-2.4429753E+000,-2.3826228E-004, 0.0000000E+000, 0.0000000E+000,-1.2107250E-001,-1.3950240E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.2000458E+001, 6.3574423E+000, 0.0000000E+000,-2.5377420E+000,-1.0377639E+000,-2.8890472E+000,-2.3594206E-004, 0.0000000E+000, 0.0000000E+000,-8.0991159E-002,-1.0734680E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.3000374E+001, 6.5778121E+000, 0.0000000E+000,-2.6002705E+000,-9.1717559E-001,-2.6789977E+000,-2.2741990E-004, 0.0000000E+000, 0.0000000E+000, 3.9946145E-001, 3.8114087E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.4000572E+001, 5.4904704E+000, 0.0000000E+000,-2.2933753E+000,-1.0492141E+000,-2.5519135E+000,-2.1560056E-004, 0.0000000E+000, 0.0000000E+000,-3.8523380E-001,-4.0424809E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.5001259E+001, 5.9947834E+000, 0.0000000E+000,-2.5168779E+000,-9.6007165E-001,-2.8033928E+000,-2.4917061E-004, 0.0000000E+000, 0.0000000E+000,-2.5848399E-001,-2.8580812E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.6000984E+001, 6.7936313E+000, 0.0000000E+000,-2.5938536E+000,-9.1469886E-001,-2.5364239E+000,-2.2976510E-004, 0.0000000E+000, 0.0000000E+000, 7.6868287E-001, 7.4842522E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.7000893E+001, 5.5647383E+000, 0.0000000E+000,-2.3612126E+000,-9.5869127E-001,-2.6636813E+000,-2.1980236E-004, 0.0000000E+000, 0.0000000E+000,-3.9651768E-001,-4.1906668E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.8000671E+001, 6.3564085E+000, 0.0000000E+000,-2.5538166E+000,-1.0153749E+000,-2.9023196E+000,-2.4801683E-004, 0.0000000E+000, 0.0000000E+000,-9.0775928E-002,-1.1535058E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.9001419E+001, 6.6083347E+000, 0.0000000E+000,-2.6210698E+000,-1.0648789E+000,-2.6648550E+000,-2.3533496E-004, 0.0000000E+000, 0.0000000E+000, 2.8098560E-001, 2.5729561E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0000079E+002, 6.1121353E+000, 0.0000000E+000,-2.4597286E+000,-1.1126353E+000,-2.5707349E+000,-2.2530086E-004, 0.0000000E+000, 0.0000000E+000,-1.3059860E-002,-3.1188838E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
