s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 4.5004000E+000, 6.0894627E+002, 2.0029201E+002, 1.0099825E+002, 5.7124709E+001, 5.9752661E+001, 6.2214239E+001, 5.4883271E+001, 5.6735708E+001, 5.3619012E+001, 4.8774647E+001, 1.3550277E+000, 1.1075685E+000, 1.2419857E+000, 1.1129286E+000, 9.1709363E-001, 9.6420581E-001, 1.8955555E+000, 2.0375922E+001, 2.6049016E-001, 2.0132832E+001, 3.2805356E-001, 2.0080725E+001, 3.6816506E-001, 2.0053660E+001, 3.2762530E-001, 2.0031309E+001, 2.7167256E-001, 2.0015544E+001, 2.5715953E-001, 3.3171079E-001, 2.8165963E-001, 1.7974913E-002, 1.6772695E-002, 2.1942138E+000
 5.0004000E+000, 5.6386871E+002, 2.7166543E+002, 1.4678951E+002, 8.8892790E+001, 7.9273857E+001, 6.4459230E+001, 4.8689876E+001, 4.9582662E+001, 4.9545823E+001, 5.1265602E+001, 1.5437145E+000, 1.7119868E+000, 1.3917215E+000, 1.6394916E+000, 1.2782125E+000, 1.0616731E+000, 2.0325960E+000, 2.0507163E+001, 4.2150061E-001, 2.0159526E+001, 3.7762516E-001, 2.0100277E+001, 2.5210699E-001, 2.0072986E+001, 2.5818722E-001, 2.0052147E+001, 2.7859055E-001, 2.0036248E+001, 2.3749862E-001, 2.4317685E-001, 2.7785066E-001, 1.8667252E-002, 1.9019931E-002, 2.6555874E+000
 5.5004000E+000, 4.4558677E+002, 1.9256275E+002, 1.1458584E+002, 1.1334847E+002, 7.9527966E+001, 7.6895888E+001, 6.1376858E+001, 5.7526592E+001, 5.5587480E+001, 4.8882914E+001, 1.1960751E+000, 1.9205229E+000, 1.4922018E+000, 1.3751134E+000, 1.1774075E+000, 1.2235342E+000, 1.6623232E+000, 2.0654020E+001, 5.4356414E-001, 2.0192761E+001, 3.9519281E-001, 2.0125952E+001, 4.1289727E-001, 2.0098122E+001, 3.3124619E-001, 2.0072661E+001, 2.6513088E-001, 2.0053008E+001, 2.5666725E-001, 3.1446742E-001, 3.0383474E-001, 1.9291174E-002, 1.9273396E-002, 2.2441138E+000
 6.0004000E+000, 6.8551889E+002, 5.4736593E+002, 2.7921406E+002, 1.7435080E+002, 1.0325496E+002, 8.5768464E+001, 6.3340087E+001, 6.2155245E+001, 5.6263495E+001, 5.4946069E+001, 1.8674201E+000, 2.2985268E+000, 1.8477704E+000, 1.7951510E+000, 1.4766189E+000, 1.1469190E+000, 5.2158526E+000, 2.0884733E+001, 1.3245538E+000, 2.0243697E+001, 7.7098003E-001, 2.0161605E+001, 3.8348348E-001, 2.0126182E+001, 4.0536584E-001, 2.0100070E+001, 3.3629039E-001, 2.0074139E+001, 3.6152084E-001, 3.7688210E-001, 3.4278477E-001, 1.9605912E-002, 2.0164798E-002, 3.0505173E+000
 6.5004000E+000, 5.8387106E+002, 3.1632283E+002, 1.0240496E+002, 1.0016971E+002, 9.9720750E+001, 1.0241734E+002, 9.7563503E+001, 9.7006732E+001, 7.9265341E+001, 7.1110883E+001, 1.1048443E+000, 1.9713843E+000, 2.0461219E+000, 1.6340861E+000, 1.3433064E+000, 1.2792410E+000, 1.4856625E+000, 2.1104626E+001, 4.8850791E-001, 2.0327006E+001, 6.6115238E-001, 2.0230157E+001, 9.0099858E-001, 2.0176291E+001, 7.8419350E-001, 2.0141885E+001, 5.0586245E-001, 2.0101417E+001, 3.9852941E-001, 5.4135075E-001, 5.3538045E-001, 2.0937151E-002, 1.8680033E-002, 2.3760499E+000
 7.0004000E+000, 7.4386430E+002, 6.6842241E+002, 3.5881051E+002, 2.6218862E+002, 1.6111014E+002, 1.0843954E+002, 5.9027036E+001, 5.0570428E+001, 5.1297705E+001, 5.6929234E+001, 2.0000823E+000, 2.6254955E+000, 1.8065625E+000, 1.7874694E+000, 1.8139029E+000, 1.3515264E+000, 6.0513655E+000, 2.1383570E+001, 1.6300015E+000, 2.0377443E+001, 6.9387813E-001, 2.0253640E+001, 2.7562508E-001, 2.0206873E+001, 2.2926896E-001, 2.0175766E+001, 3.4791856E-001, 2.0136147E+001, 1.9864335E-001, 2.8621616E-001, 3.1083511E-001, 1.7849317E-002, 2.0573021E-002, 2.8628591E+000
 7.5004000E+000, 5.5124041E+002, 3.0258762E+002, 1.3577899E+002, 1.0986803E+002, 9.8924177E+001, 9.3587528E+001, 1.0533007E+002, 9.5063194E+001, 7.7913360E+001, 6.6708108E+001, 1.1322154E+000, 1.9930545E+000, 2.3492335E+000, 1.8339349E+000, 1.4566482E+000, 1.3650033E+000, 2.3007608E+000, 2.1627121E+001, 6.1647719E-001, 2.0475647E+001, 5.9624040E-001, 2.0313885E+001, 8.2338995E-001, 2.0261080E+001, 6.5244401E-001, 2.0207263E+001, 4.5534049E-001, 2.0156249E+001, 5.6942171E-001, 6.6455133E-001, 6.3040497E-001, 2.0557857E-002, 1.7763199E-002, 2.9481557E+000
 8.0004000E+000, 6.5749802E+002, 5.8954877E+002, 4.5846898E+002, 2.5567720E+002, 1.5613958E+002, 1.2265419E+002, 7.6367025E+001, 6.4886342E+001, 5.6275365E+001, 5.6914873E+001, 1.9750479E+000, 2.9258507E+000, 2.3996857E+000, 1.6731946E+000, 1.3978928E+000, 1.5037197E+000, 7.0037361E+000, 2.2108232E+001, 1.3626440E+000, 2.0537895E+001, 9.4867659E-001, 2.0362890E+001, 7.4381605E-001, 2.0295797E+001, 4.0443678E-001, 2.0239288E+001, 3.2757256E-001, 2.0188170E+001, 3.4232647E-001, 3.8014160E-001, 3.5993126E-001, 1.8351553E-002, 2.0604764E-002, 2.8075832E+000
 8.5000000E+000, 7.8625752E+002, 6.3804941E+002, 3.1885451E+002, 1.7336778E+002, 1.1190854E+002, 8.5417082E+001, 6.6852214E+001, 8.0306474E+001, 7.9647277E+001, 7.3227880E+001, 1.8480701E+000, 2.2355128E+000, 2.0734395E+000, 1.4363305E+000, 1.1079856E+000, 1.2514824E+000, 7.0638264E+000, 2.2460118E+001, 1.2965648E+000, 2.0616466E+001, 4.8751430E-001, 2.0411599E+001, 5.1544910E-001, 2.0347316E+001, 5.9759835E-001, 2.0279687E+001, 5.1363246E-001, 2.0215487E+001, 4.2989413E-001, 6.0677946E-001, 5.2348360E-001, 2.0624715E-002, 1.9270803E-002, 3.2295944E+000
 9.0000000E+000, 8.2445000E+002, 6.3487629E+002, 2.6344985E+002, 2.1734609E+002, 1.9903261E+002, 1.6752624E+002, 1.0448715E+002, 1.0447253E+002, 8.9352130E+001, 8.1960386E+001, 1.8264442E+000, 2.6612417E+000, 2.7195922E+000, 1.7464554E+000, 1.9352493E+000, 1.4859144E+000, 6.8218706E+000, 2.2949800E+001, 1.9933141E+000, 2.0762032E+001, 1.2369323E+000, 2.0481410E+001, 8.8472062E-001, 2.0399208E+001, 7.5992270E-001, 2.0322985E+001, 6.4621361E-001, 2.0253734E+001, 4.2439568E-001, 6.7064451E-001, 6.2225944E-001, 1.9983572E-002, 1.9749985E-002, 3.1461719E+000
 9.5000000E+000, 6.8894141E+002, 9.5342071E+002, 5.1069144E+002, 3.9229080E+002, 2.0934472E+002, 1.8233956E+002, 1.1209440E+002, 9.3640999E+001, 7.6436004E+001, 7.4260889E+001, 2.3280504E+000, 3.2646259E+000, 2.8451986E+000, 2.2525432E+000, 2.1298824E+000, 1.4960813E+000, 1.7249580E+001, 2.3858501E+001, 2.3131543E+000, 2.0887424E+001, 1.6599116E+000, 2.0568459E+001, 9.8240133E-001, 2.0453578E+001, 7.1447783E-001, 2.0372545E+001, 4.7888020E-001, 2.0295994E+001, 4.3057826E-001, 5.9334616E-001, 5.8386235E-001, 1.9127997E-002, 2.1555209E-002, 4.3657182E+000
 1.0000000E+001, 8.6617280E+002, 7.2180510E+002, 3.7633660E+002, 2.2340217E+002, 1.7752086E+002, 1.4456393E+002, 1.2745668E+002, 1.4537666E+002, 1.1605274E+002, 1.0542710E+002, 1.7753151E+000, 2.8715065E+000, 2.8118413E+000, 2.3359231E+000, 2.4409913E+000, 1.9130302E+000, 1.0834654E+001, 2.4819554E+001, 1.2758273E+000, 2.1024304E+001, 1.3691381E+000, 2.0690769E+001, 1.3117324E+000, 2.0546304E+001, 1.1999011E+000, 2.0442510E+001, 7.2184173E-001, 2.0337413E+001, 7.1543747E-001, 1.1485375E+000, 9.6427265E-001, 2.1332829E-002, 1.9157687E-002, 3.7875461E+000
 1.0500000E+001, 6.6908751E+002, 8.7465575E+002, 6.1305085E+002, 4.2230749E+002, 2.9390605E+002, 2.1376973E+002, 1.2320811E+002, 1.0948609E+002, 9.3896570E+001, 8.1477667E+001, 2.0320656E+000, 3.5143731E+000, 3.0506985E+000, 2.2342865E+000, 1.9196865E+000, 1.8013921E+000, 1.5273021E+001, 2.5743024E+001, 2.4332382E+000, 2.1156137E+001, 1.4979485E+000, 2.0776735E+001, 1.2549822E+000, 2.0618135E+001, 8.6220180E-001, 2.0503125E+001, 6.1592186E-001, 2.0384128E+001, 5.1065008E-001, 8.5397549E-001, 7.1560111E-001, 1.9228907E-002, 2.0972266E-002, 4.3044570E+000
 1.1000000E+001, 7.3408045E+002, 7.7574345E+002, 4.7839268E+002, 3.4900543E+002, 2.3777362E+002, 1.6877181E+002, 1.3435243E+002, 1.2526286E+002, 1.2123209E+002, 1.1146499E+002, 1.8210731E+000, 3.1768386E+000, 2.8468338E+000, 2.4262692E+000, 1.8468179E+000, 1.9817276E+000, 1.1437888E+001, 2.6598927E+001, 2.4064420E+000, 2.1323562E+001, 1.3718244E+000, 2.0878557E+001, 1.0924277E+000, 2.0709294E+001, 1.1656971E+000, 2.0584134E+001, 9.3658334E-001, 2.0440440E+001, 8.0022944E-001, 9.1079956E-001, 9.6674533E-001, 2.0473605E-002, 2.1272989E-002, 4.9689068E+000
 1.1500000E+001, 7.1481547E+002, 9.3780519E+002, 5.8994578E+002, 3.2523206E+002, 2.2274437E+002, 1.7942882E+002, 1.3243970E+002, 1.2780667E+002, 1.1062211E+002, 1.0803022E+002, 1.9196516E+000, 3.0941636E+000, 2.5633094E+000, 2.2112700E+000, 2.2742200E+000, 2.0695138E+000, 1.5657102E+001, 2.7555881E+001, 2.8845339E+000, 2.1488906E+001, 1.5229546E+000, 2.0979957E+001, 1.2899166E+000, 2.0787920E+001, 7.8082985E-001, 2.0648221E+001, 7.4734407E-001, 2.0496031E+001, 7.2377044E-001, 1.1161528E+000, 8.8869682E-001, 2.1296967E-002, 2.2404104E-002, 5.2149344E+000
 1.2000000E+001, 6.7962024E+002, 9.8574792E+002, 5.2876485E+002, 3.7641512E+002, 2.6335959E+002, 2.0936459E+002, 1.5037508E+002, 1.3379882E+002, 1.2526258E+002, 1.1964351E+002, 1.5250135E+000, 3.3432241E+000, 3.0593528E+000, 2.2241010E+000, 1.8333040E+000, 1.6023529E+000, 1.6703107E+001, 2.8627047E+001, 3.3626599E+000, 2.1718551E+001, 1.8008059E+000, 2.1089105E+001, 1.3290208E+000, 2.0883462E+001, 1.0357922E+000, 2.0715928E+001, 9.9402957E-001, 2.0551662E+001, 8.1066904E-001, 1.1499686E+000, 1.0331493E+000, 2.3284404E-002, 2.1639154E-002, 4.5514114E+000
 1.2500000E+001, 6.3479915E+002, 1.0955174E+003, 5.6571665E+002, 4.1130045E+002, 3.0113470E+002, 2.4612557E+002, 1.5236354E+002, 1.4144301E+002, 1.1034726E+002, 1.0588168E+002, 1.6264399E+000, 3.1578998E+000, 2.9874125E+000, 2.4931498E+000, 2.4335819E+000, 2.1351834E+000, 2.2110854E+001, 3.0009960E+001, 4.1033074E+000, 2.1950133E+001, 2.2979906E+000, 2.1218679E+001, 1.6388827E+000, 2.0975440E+001, 1.0606730E+000, 2.0779359E+001, 6.7566755E-001, 2.0612566E+001, 6.2806696E-001, 1.0111493E+000, 9.8858785E-001, 2.2045038E-002, 2.2809378E-002, 5.2802888E+000
 1.3000000E+001, 6.0598488E+002, 8.9797093E+002, 7.7774091E+002, 4.4608655E+002, 3.1949309E+002, 2.4405303E+002, 1.6689917E+002, 1.5504830E+002, 1.2648218E+002, 1.1927156E+002, 1.4616695E+000, 3.3673723E+000, 3.3589633E+000, 2.3584983E+000, 2.5134009E+000, 2.2713984E+000, 1.9294669E+001, 3.1426856E+001, 3.3772194E+000, 2.2227085E+001, 2.1574873E+000, 2.1391624E+001, 1.6412337E+000, 2.1100028E+001, 1.1075653E+000, 2.0861765E+001, 8.9912425E-001, 2.0668785E+001, 8.1741173E-001, 1.3085998E+000, 1.0528614E+000, 2.1758512E-002, 2.1935494E-002, 5.4639890E+000
 1.3500000E+001, 5.5081899E+002, 8.6688399E+002, 7.8272307E+002, 4.7466449E+002, 3.2459135E+002, 2.4923712E+002, 1.5364816E+002, 1.6803719E+002, 1.4669389E+002, 1.2991035E+002, 1.5785074E+000, 3.4325645E+000, 3.0469752E+000, 2.1625542E+000, 2.3785311E+000, 2.3201189E+000, 2.4249441E+001, 3.2911155E+001, 4.4840972E+000, 2.2536661E+001, 2.1339404E+000, 2.1544661E+001, 1.7682941E+000, 2.1215796E+001, 1.5083239E+000, 2.0947743E+001, 1.0756947E+000, 2.0735420E+001, 9.7239773E-001, 1.3377092E+000, 1.2512933E+000, 2.1367889E-002, 2.2956294E-002, 6.5827061E+000
