s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2179937E-006,-4.4667641E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2179982E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003999E+000, 3.0119879E-001, 0.0000000E+000,-8.5682594E-002, 2.4653419E-003,-6.6851707E-002,-2.0795066E-005, 0.0000000E+000, 0.0000000E+000, 1.5099848E-001, 1.5110904E-001, 0.0000000E+000, 6.8188570E-006, 0.0000000E+000
 2.0004001E+000, 7.0234011E-001, 0.0000000E+000,-2.0735605E-001, 3.6427751E-003,-2.7094676E-001,-5.4204549E-005, 0.0000000E+000, 0.0000000E+000, 2.2753312E-001, 2.2762586E-001, 0.0000000E+000, 2.0446003E-005, 0.0000000E+000
 3.0004001E+000, 1.4548864E+000, 0.0000000E+000,-4.3351746E-001, 9.3616878E-003,-4.5537804E-001,-8.3249959E-005, 0.0000000E+000, 0.0000000E+000, 5.7489010E-001, 5.7526935E-001, 0.0000000E+000, 3.4073038E-005, 0.0000000E+000
 4.0004001E+000, 1.6081810E+000, 0.0000000E+000,-4.9097256E-001, 7.0678301E-004,-6.9694636E-001,-1.0556421E-004, 0.0000000E+000, 0.0000000E+000, 4.2079044E-001, 4.2086328E-001, 0.0000000E+000, 4.7700072E-005, 0.0000000E+000
 5.0004001E+000, 2.4249006E+000, 0.0000000E+000,-7.4048333E-001,-4.1645915E-001,-9.1182528E-001,-1.1939770E-004, 0.0000000E+000, 0.0000000E+000, 3.6323640E-001, 3.5601341E-001, 0.0000000E+000, 6.1327107E-005, 0.0000000E+000
 6.0004001E+000, 2.6473155E+000, 0.0000000E+000,-8.4639451E-001,-5.6285026E-001,-1.0488749E+000,-1.2163320E-004, 0.0000000E+000, 0.0000000E+000, 1.9765569E-001, 1.8907421E-001, 0.0000000E+000, 7.4954142E-005, 0.0000000E+000
 7.0004001E+000, 2.6194545E+000, 0.0000000E+000,-8.6723748E-001,-8.4429910E-001,-1.0873966E+000,-1.0562948E-004, 0.0000000E+000, 0.0000000E+000,-1.6566743E-001,-1.7958436E-001, 0.0000000E+000, 8.8581176E-005, 0.0000000E+000
 8.0003996E+000, 2.8778694E+000, 0.0000000E+000,-9.3388578E-001,-6.4726938E-001,-1.1199168E+000,-8.0328319E-005, 0.0000000E+000, 0.0000000E+000, 1.8619927E-001, 1.7671708E-001, 0.0000000E+000, 1.0220821E-004, 0.0000000E+000
 9.0000000E+000, 3.1878665E+000, 0.0000000E+000,-1.0420911E+000,-8.1120181E-001,-1.1749534E+000,-5.3267490E-005, 0.0000000E+000, 0.0000000E+000, 1.7028050E-001, 1.5956691E-001, 0.0000000E+000, 1.1583590E-004, 0.0000000E+000
 1.0000000E+001, 4.0766322E+000, 0.0000000E+000,-1.3181532E+000,-1.1988123E+000,-1.3740291E+000,-3.3423654E-005, 0.0000000E+000, 0.0000000E+000, 2.0404186E-001, 1.8560424E-001, 0.0000000E+000, 1.2946228E-004, 0.0000000E+000
 1.1000000E+001, 4.6366819E+000, 0.0000000E+000,-1.5021797E+000,-1.3377319E+000,-1.4687438E+000,-2.1011151E-005, 0.0000000E+000, 0.0000000E+000, 3.4871378E-001, 3.2800555E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.2000000E+001, 4.8831729E+000, 0.0000000E+000,-1.5950294E+000,-1.5214725E+000,-1.6571536E+000,-1.5935712E-005, 0.0000000E+000, 0.0000000E+000, 1.3064953E-001, 1.0950132E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.3000000E+001, 5.3721389E+000, 0.0000000E+000,-1.7836295E+000,-1.7678481E+000,-1.7516718E+000,-1.3282569E-005, 0.0000000E+000, 0.0000000E+000, 1.0259925E-001, 6.8976233E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
