s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 4.5000902E+000, 9.2835029E+002, 2.7518665E+002, 1.8717404E+002, 9.5670025E+001, 5.2227258E+001, 5.5710781E+001, 6.9011077E+001, 6.9530305E+001, 6.5012768E+001, 6.2080898E+001, 1.5078534E+000, 1.5383194E+000, 1.3257119E+000, 1.6627014E+000, 1.7392730E+000, 1.6402131E+000, 3.5417935E+000, 2.0400942E+001, 6.0504504E-001, 2.0112429E+001, 2.6256389E-001, 2.0070431E+001, 4.2224147E-001, 2.0053421E+001, 3.8537647E-001, 2.0038718E+001, 3.6597519E-001, 2.0022882E+001, 4.0363963E-001, 4.0522355E-001, 3.2207933E-001, 1.9330320E-002, 1.8573978E-002, 2.5282237E+000
 5.0009193E+000, 7.0979880E+002, 2.4244467E+002, 1.1898631E+002, 1.0358090E+002, 1.0017306E+002, 7.9105638E+001, 5.9390233E+001, 5.6792626E+001, 5.5927180E+001, 5.7477894E+001, 1.2044106E+000, 1.8304387E+000, 1.6383146E+000, 1.3758379E+000, 1.3817297E+000, 1.4144203E+000, 1.6924740E+000, 2.0584551E+001, 4.5131601E-001, 2.0159184E+001, 4.6602745E-001, 2.0096997E+001, 3.2728307E-001, 2.0074208E+001, 2.9439469E-001, 2.0060749E+001, 3.0511234E-001, 2.0046739E+001, 2.3300939E-001, 2.5995156E-001, 2.9355455E-001, 1.9584933E-002, 1.9566461E-002, 2.4300663E+000
 5.5004629E+000, 5.6621180E+002, 2.3045756E+002, 1.5191513E+002, 1.1432387E+002, 9.4766864E+001, 9.4022575E+001, 6.9087012E+001, 6.0821545E+001, 6.2236904E+001, 5.9208451E+001, 9.9522927E-001, 1.8907006E+000, 1.8462628E+000, 1.6875782E+000, 1.5938275E+000, 1.5650205E+000, 2.0354807E+000, 2.0734149E+001, 6.1867382E-001, 2.0191587E+001, 4.5456941E-001, 2.0124400E+001, 2.5172860E-001, 2.0097171E+001, 3.4218220E-001, 2.0084753E+001, 3.7363028E-001, 2.0070913E+001, 2.8103678E-001, 2.8881278E-001, 3.1936090E-001, 1.9788948E-002, 2.0263240E-002, 2.3273277E+000
 6.0000702E+000, 5.4444971E+002, 2.5228665E+002, 1.3664502E+002, 9.7962219E+001, 7.0841688E+001, 5.8486381E+001, 5.9413846E+001, 6.4787817E+001, 6.8059857E+001, 6.4365753E+001, 1.0008996E+000, 1.6593268E+000, 1.5948142E+000, 1.6922571E+000, 1.7574314E+000, 1.7604243E+000, 2.1452465E+000, 2.0849015E+001, 5.4625641E-001, 2.0228589E+001, 3.6114831E-001, 2.0149465E+001, 2.8978042E-001, 2.0121109E+001, 3.5898592E-001, 2.0111810E+001, 3.9911461E-001, 2.0098127E+001, 2.6809259E-001, 3.6574347E-001, 3.7439461E-001, 2.0320380E-002, 2.0754678E-002, 2.2914085E+000
 6.5002538E+000, 5.2932227E+002, 2.3589882E+002, 1.7224043E+002, 1.4644912E+002, 1.0539875E+002, 9.2578097E+001, 7.3143502E+001, 5.7699549E+001, 4.4615831E+001, 3.8683263E+001, 9.5481602E-001, 1.9167926E+000, 1.8618534E+000, 1.6778290E+000, 1.4819033E+000, 1.3876367E+000, 2.4745783E+000, 2.1024081E+001, 9.9367328E-001, 2.0280864E+001, 5.9294115E-001, 2.0187591E+001, 3.1645461E-001, 2.0133476E+001, 2.2767619E-001, 2.0124934E+001, 1.0562856E-001, 2.0112786E+001, 2.9546641E-001, 1.7716098E-001, 1.1824279E-001, 1.9480897E-002, 1.9675832E-002, 2.5452742E+000
 7.0008778E+000, 7.0715393E+002, 4.6909924E+002, 2.3620102E+002, 1.6342451E+002, 1.4040622E+002, 1.1601437E+002, 8.1790019E+001, 6.5153149E+001, 6.7508395E+001, 6.7897424E+001, 1.6095928E+000, 2.1997272E+000, 2.2747387E+000, 1.9065384E+000, 1.6763456E+000, 1.5502203E+000, 3.5085763E+000, 2.1245947E+001, 9.0591871E-001, 2.0350984E+001, 7.7837329E-001, 2.0236042E+001, 3.5112919E-001, 2.0158550E+001, 2.7788439E-001, 2.0147440E+001, 3.5421467E-001, 2.0130498E+001, 3.6041639E-001, 3.3965596E-001, 3.3926111E-001, 1.9490176E-002, 2.0336891E-002, 2.4325816E+000
 7.5000939E+000, 4.5298278E+002, 5.2561515E+002, 2.0004081E+002, 1.1860888E+002, 9.7995705E+001, 7.9464871E+001, 6.8236995E+001, 6.8669170E+001, 6.3784196E+001, 5.7684949E+001, 1.5741097E+000, 2.0107135E+000, 2.0658724E+000, 2.0042145E+000, 1.8449242E+000, 1.4875883E+000, 3.8765793E+000, 2.1443086E+001, 7.3044448E-001, 2.0406193E+001, 4.4462081E-001, 2.0273897E+001, 3.3493158E-001, 2.0185403E+001, 3.5417666E-001, 2.0168706E+001, 2.1480677E-001, 2.0147624E+001, 3.8583840E-001, 3.4243702E-001, 3.2060475E-001, 1.8829872E-002, 1.9568921E-002, 2.8290240E+000
 8.0002952E+000, 8.8060062E+002, 4.4046328E+002, 3.0086780E+002, 2.1147507E+002, 1.6362717E+002, 1.2760388E+002, 9.1219897E+001, 6.2814040E+001, 5.1662030E+001, 4.1728223E+001, 1.8955956E+000, 2.6394754E+000, 2.2453157E+000, 1.8430725E+000, 1.6417048E+000, 1.4865673E+000, 5.3687639E+000, 2.1904283E+001, 1.2092889E+000, 2.0483973E+001, 9.7183806E-001, 2.0326891E+001, 4.1617730E-001, 2.0205259E+001, 2.5028380E-001, 2.0185585E+001, 2.2074322E-001, 2.0163150E+001, 2.6353815E-001, 2.4022713E-001, 1.9390113E-001, 1.7155824E-002, 1.9402618E-002, 2.2951939E+000
 8.5005286E+000, 9.9380293E+002, 4.4968006E+002, 3.0558371E+002, 1.3064706E+002, 9.4710446E+001, 8.0058425E+001, 6.9037446E+001, 6.3186888E+001, 6.5497281E+001, 6.6380668E+001, 1.7003730E+000, 1.9845871E+000, 2.1501584E+000, 2.0113572E+000, 1.7687193E+000, 1.3029737E+000, 4.8677879E+000, 2.2116838E+001, 4.6869708E-001, 2.0525569E+001, 4.0597268E-001, 2.0365305E+001, 4.8080199E-001, 2.0245301E+001, 5.1561153E-001, 2.0219614E+001, 3.9033470E-001, 2.0185595E+001, 4.6518530E-001, 2.6683332E-001, 3.2346206E-001, 1.7931826E-002, 1.8770780E-002, 2.8015646E+000
 9.0008276E+000, 9.3166799E+002, 5.8540362E+002, 2.1712107E+002, 1.5098713E+002, 1.0892766E+002, 1.1131384E+002, 1.0274947E+002, 8.2573176E+001, 5.7071501E+001, 4.8908490E+001, 2.2330064E+000, 2.1021903E+000, 2.2705613E+000, 2.2973441E+000, 1.9689109E+000, 1.5643105E+000, 6.4031529E+000, 2.2601675E+001, 1.2220808E+000, 2.0596863E+001, 6.7172896E-001, 2.0412301E+001, 6.9911257E-001, 2.0277825E+001, 4.9857962E-001, 2.0246529E+001, 2.5434557E-001, 2.0205437E+001, 5.0045360E-001, 3.4185975E-001, 2.3478962E-001, 1.6885321E-002, 1.8190745E-002, 2.8487204E+000
 9.5008446E+000, 7.8567976E+002, 6.2011075E+002, 2.7450853E+002, 1.4367614E+002, 9.7686687E+001, 7.4551158E+001, 7.4137699E+001, 7.8828829E+001, 8.5422200E+001, 8.6214090E+001, 2.0213480E+000, 2.1211433E+000, 1.5896088E+000, 1.9217245E+000, 2.1031605E+000, 2.0715496E+000, 5.5478890E+000, 2.2957093E+001, 5.1165211E-001, 2.0646980E+001, 4.2466552E-001, 2.0448276E+001, 4.4847293E-001, 2.0322203E+001, 5.4865599E-001, 2.0289621E+001, 6.0744750E-001, 2.0240494E+001, 4.6811050E-001, 5.3300540E-001, 5.6954886E-001, 1.9748523E-002, 2.0452821E-002, 3.2932647E+000
