s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 4.4000469E+001, 6.3451460E+000, 0.0000000E+000,-2.0611324E+000,-2.5714615E+000,-1.8067091E+000,-9.6952489E-006, 0.0000000E+000, 0.0000000E+000,-2.4208419E-002,-9.4166619E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.5000526E+001, 7.1809714E+000, 0.0000000E+000,-2.3080588E+000,-2.3417702E+000,-1.8843008E+000,-9.7692076E-006, 0.0000000E+000, 0.0000000E+000, 7.0692959E-001, 6.4683182E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.6000057E+001, 6.3493645E+000, 0.0000000E+000,-2.0478009E+000,-2.6340021E+000,-1.8856735E+000,-1.0335778E-005, 0.0000000E+000, 0.0000000E+000,-1.4037096E-001,-2.1812233E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.7000229E+001, 6.1376843E+000, 0.0000000E+000,-1.9914530E+000,-2.4824366E+000,-1.7897641E+000,-1.0303380E-005, 0.0000000E+000, 0.0000000E+000,-6.6663511E-002,-1.2597967E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.8000134E+001, 5.7625259E+000, 0.0000000E+000,-1.9026292E+000,-2.5498356E+000,-1.7832042E+000,-1.0636913E-005, 0.0000000E+000, 0.0000000E+000,-4.0690815E-001,-4.7315373E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 4.9000675E+001, 6.3278172E+000, 0.0000000E+000,-2.0907950E+000,-2.2756549E+000,-1.9728294E+000,-1.0380258E-005, 0.0000000E+000, 0.0000000E+000, 4.3114137E-002,-1.1472539E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.0000519E+001, 5.6676345E+000, 0.0000000E+000,-1.8578591E+000,-2.2075315E+000,-1.6635181E+000,-9.3225430E-006, 0.0000000E+000, 0.0000000E+000,-6.3400826E-003,-6.1283538E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.1000114E+001, 6.3716146E+000, 0.0000000E+000,-2.0621970E+000,-2.3617693E+000,-1.7325979E+000,-9.2217437E-006, 0.0000000E+000, 0.0000000E+000, 2.7488434E-001, 2.1504112E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.2000431E+001, 6.3605065E+000, 0.0000000E+000,-2.0696095E+000,-2.6512409E+000,-1.8840912E+000,-1.0310936E-005, 0.0000000E+000, 0.0000000E+000,-1.6945965E-001,-2.4444532E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.3000443E+001, 6.2781392E+000, 0.0000000E+000,-2.0342659E+000,-2.4855488E+000,-1.7319232E+000,-1.0148834E-005, 0.0000000E+000, 0.0000000E+000, 8.2792637E-002, 2.6391116E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.4000538E+001, 6.4125986E+000, 0.0000000E+000,-2.0583125E+000,-2.5701877E+000,-1.8199964E+000,-1.0000147E-005, 0.0000000E+000, 0.0000000E+000, 3.7984564E-002,-3.5907885E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.5000156E+001, 5.8392914E+000, 0.0000000E+000,-1.9001963E+000,-2.6808663E+000,-1.6602123E+000,-9.7671024E-006, 0.0000000E+000, 0.0000000E+000,-3.3651388E-001,-4.0199322E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.6000652E+001, 6.4200334E+000, 0.0000000E+000,-2.0640371E+000,-2.3904124E+000,-1.6962751E+000,-1.0603163E-005, 0.0000000E+000, 0.0000000E+000, 3.3104051E-001, 2.6929813E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.7000172E+001, 5.6486801E+000, 0.0000000E+000,-1.8456789E+000,-2.4520189E+000,-1.6662865E+000,-1.0165525E-005, 0.0000000E+000, 0.0000000E+000,-2.5157014E-001,-3.1531437E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.8000210E+001, 6.5168455E+000, 0.0000000E+000,-2.0983202E+000,-2.7368865E+000,-1.7178436E+000,-9.9136323E-006, 0.0000000E+000, 0.0000000E+000, 2.3529634E-002,-3.6214708E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.9000774E+001, 6.9135757E+000, 0.0000000E+000,-2.2263513E+000,-2.7874679E+000,-1.9183663E+000,-1.0748844E-005, 0.0000000E+000, 0.0000000E+000, 5.1734533E-002,-1.8620573E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.0000217E+001, 5.6109024E+000, 0.0000000E+000,-1.8299468E+000,-2.2433419E+000,-1.6070007E+000,-1.0439753E-005, 0.0000000E+000, 0.0000000E+000,-1.9049096E-002,-6.9397446E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.1000004E+001, 6.5421162E+000, 0.0000000E+000,-2.0920440E+000,-2.5730746E+000,-1.7977980E+000,-1.0899583E-005, 0.0000000E+000, 0.0000000E+000, 1.5227279E-001, 7.9188699E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.2000427E+001, 5.9950918E+000, 0.0000000E+000,-1.9417194E+000,-2.4032929E+000,-1.6885502E+000,-1.0676878E-005, 0.0000000E+000, 0.0000000E+000, 1.8714696E-002,-3.8481271E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.3000160E+001, 6.0472862E+000, 0.0000000E+000,-1.9889764E+000,-2.4328106E+000,-1.7717330E+000,-1.0981497E-005, 0.0000000E+000, 0.0000000E+000,-8.3334348E-002,-1.4624470E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
