s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 8.9000542E+001, 5.7890907E+000, 0.0000000E+000,-1.7734557E+000,-2.6131438E+000,-1.2940343E+000,-5.3744931E-005, 0.0000000E+000, 0.0000000E+000, 1.7200101E-001, 1.0840316E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.0001038E+001, 6.7232186E+000, 0.0000000E+000,-2.0658880E+000,-3.1010186E+000,-1.5220482E+000,-6.0233370E-005, 0.0000000E+000, 0.0000000E+000, 1.1516589E-001, 3.4203601E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.1000145E+001, 6.3536045E+000, 0.0000000E+000,-1.9496717E+000,-2.9430043E+000,-1.4822011E+000,-5.7154874E-005, 0.0000000E+000, 0.0000000E+000, 5.1262992E-002,-2.1329711E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.2000389E+001, 6.0237950E+000, 0.0000000E+000,-1.8598682E+000,-2.9473180E+000,-1.4417715E+000,-6.0386167E-005, 0.0000000E+000, 0.0000000E+000,-1.4813898E-001,-2.2522312E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.3000687E+001, 6.1180453E+000, 0.0000000E+000,-1.8790891E+000,-2.8993159E+000,-1.3717375E+000,-5.5547583E-005, 0.0000000E+000, 0.0000000E+000, 4.8883419E-002,-3.2152718E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.4000534E+001, 6.1269184E+000, 0.0000000E+000,-1.8931783E+000,-2.8998742E+000,-1.4124231E+000,-5.8637165E-005, 0.0000000E+000, 0.0000000E+000,-3.2326353E-003,-7.8615885E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.5000580E+001, 6.3887938E+000, 0.0000000E+000,-1.9665137E+000,-3.0081751E+000,-1.4628302E+000,-5.8725427E-005, 0.0000000E+000, 0.0000000E+000, 3.2544354E-002,-4.8783891E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.6000175E+001, 5.7175816E+000, 0.0000000E+000,-1.7587064E+000,-2.7561046E+000,-1.3722011E+000,-5.5249857E-005, 0.0000000E+000, 0.0000000E+000,-1.0416411E-001,-1.6948573E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.7000237E+001, 6.4477602E+000, 0.0000000E+000,-1.9912789E+000,-2.9979934E+000,-1.4345736E+000,-5.7879740E-005, 0.0000000E+000, 0.0000000E+000, 1.0218388E-001, 2.3856383E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.8000679E+001, 5.9792741E+000, 0.0000000E+000,-1.8420990E+000,-3.1387391E+000,-1.4352252E+000,-5.8149653E-005, 0.0000000E+000, 0.0000000E+000,-3.4525971E-001,-4.3684744E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 9.9000626E+001, 6.1498797E+000, 0.0000000E+000,-1.8918440E+000,-2.8876879E+000,-1.4213934E+000,-5.5411623E-005, 0.0000000E+000, 0.0000000E+000, 2.3026612E-002,-5.1101100E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0000129E+002, 6.2640845E+000, 0.0000000E+000,-1.9369070E+000,-2.7602472E+000,-1.4019704E+000,-5.9525415E-005, 0.0000000E+000, 0.0000000E+000, 2.2846421E-001, 1.6490021E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0100073E+002, 6.3468317E+000, 0.0000000E+000,-1.9497695E+000,-2.9554093E+000,-1.4204898E+000,-5.8231966E-005, 0.0000000E+000, 0.0000000E+000, 9.5333110E-002, 2.1104781E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0200082E+002, 5.9465771E+000, 0.0000000E+000,-1.8431345E+000,-2.9981976E+000,-1.3754415E+000,-5.7395828E-005, 0.0000000E+000, 0.0000000E+000,-2.0241596E-001,-2.7025381E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0300119E+002, 5.8432817E+000, 0.0000000E+000,-1.7993641E+000,-2.8977465E+000,-1.3471041E+000,-5.0152482E-005, 0.0000000E+000, 0.0000000E+000,-1.0579078E-001,-2.0098328E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0400137E+002, 6.0093724E+000, 0.0000000E+000,-1.8519684E+000,-2.9181690E+000,-1.3871719E+000,-5.3235726E-005, 0.0000000E+000, 0.0000000E+000,-6.6781339E-002,-1.4799008E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0500127E+002, 6.7426166E+000, 0.0000000E+000,-2.0658545E+000,-2.8542369E+000,-1.4880101E+000,-5.6132760E-005, 0.0000000E+000, 0.0000000E+000, 4.1753688E-001, 3.3445897E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0600154E+002, 6.1736687E+000, 0.0000000E+000,-1.9028295E+000,-3.1505396E+000,-1.4737447E+000,-5.7296145E-005, 0.0000000E+000, 0.0000000E+000,-2.5667072E-001,-3.5350242E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0700085E+002, 6.2847007E+000, 0.0000000E+000,-1.9335343E+000,-2.7475699E+000,-1.4138658E+000,-5.8621414E-005, 0.0000000E+000, 0.0000000E+000, 2.6399704E-001, 1.8967207E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0800007E+002, 6.3913047E+000, 0.0000000E+000,-1.9582205E+000,-3.1058876E+000,-1.4504118E+000,-6.0464440E-005, 0.0000000E+000, 0.0000000E+000,-3.4576587E-002,-1.2327566E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.0900101E+002, 6.1071972E+000, 0.0000000E+000,-1.8893102E+000,-3.0891989E+000,-1.4060584E+000,-5.8999786E-005, 0.0000000E+000, 0.0000000E+000,-2.0847657E-001,-2.7742927E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1000042E+002, 6.1620594E+000, 0.0000000E+000,-1.9143114E+000,-2.9255979E+000,-1.4305826E+000,-5.3864422E-005, 0.0000000E+000, 0.0000000E+000,-4.6923899E-002,-1.0848633E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
