s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-1.8690437E-003, 4.8654144E-003, 7.2162926E-004, 7.2509211E-003, 0.0000000E+000,-5.3181273E-003,-1.1049333E-004, 2.0000000E+001,-1.3014634E-004, 2.0000000E+001,-1.2527627E-004, 2.0000000E+001,-8.7050826E-005, 2.0000000E+001,-4.6114399E-004, 2.0000000E+001,-4.5956628E-005, 2.0000000E+001,-8.8611875E-005,-4.7214452E-004,-5.0285374E-005, 5.1311565E-005, 0.0000000E+000, 0.0000000E+000
 5.0501017E-001, 2.0000800E+001, 2.0000011E+001, 1.9999997E+001, 1.9999994E+001, 2.0000003E+001, 1.9999999E+001, 1.9999994E+001, 1.9999997E+001, 2.0000003E+001, 1.9999992E+001,-7.2071751E-004, 4.4259661E-003, 1.8625271E-004, 6.6271558E-003, 4.9493154E-004,-3.9116163E-003, 3.6706947E-004, 2.0000005E+001, 2.1614716E-006, 2.0000000E+001,-2.1398362E-006, 2.0000000E+001,-1.1599074E-006, 2.0000000E+001,-1.3083322E-005, 1.9999999E+001,-5.3266716E-007, 2.0000000E+001,-1.1674942E-006,-1.2611803E-005,-6.1083895E-007, 5.8638198E-005, 1.2509729E-005, 1.3994763E-001
 1.0030853E+000, 3.8357914E+001, 2.0000936E+001, 2.0000044E+001, 1.9999967E+001, 1.9999984E+001, 1.9999975E+001, 1.9999964E+001, 1.9999973E+001, 1.9999991E+001, 1.9999969E+001, 1.4284235E-002, 1.4611466E-002, 1.1700131E-002, 1.6473103E-002, 1.1934683E-002, 8.1545348E-003, 1.5254763E-002, 2.0000488E+001, 1.1946085E-004, 2.0000004E+001, 4.1071002E-006, 2.0000000E+001,-4.0559119E-008, 2.0000000E+001,-1.0391341E-007, 1.9999999E+001,-6.5719202E-008, 2.0000000E+001,-8.7859830E-008,-5.1333957E-008,-1.2291481E-007, 3.0319241E-004, 2.7861279E-004, 4.6421273E-001
 1.5021237E+000, 1.4805775E+002, 5.2031046E+001, 2.0000224E+001, 1.9999834E+001, 1.9999832E+001, 1.9999821E+001, 1.9999816E+001, 1.9999814E+001, 1.9999834E+001, 1.9999831E+001, 4.0789874E-001, 6.0505183E-002, 6.0811824E-002, 6.0107795E-002, 5.9249651E-002, 5.8604502E-002, 9.3156545E-002, 2.0003505E+001, 1.4463546E-004, 2.0000014E+001, 1.0387690E-005, 2.0000000E+001,-5.7652317E-007, 2.0000000E+001,-7.5256015E-007, 1.9999999E+001,-7.6389385E-007, 2.0000000E+001,-7.0553905E-007,-7.5601851E-007,-7.3382600E-007, 1.3612449E-003, 1.3587817E-003, 7.4301013E-001
 2.0025662E+000, 1.2636667E+002, 1.2154650E+002, 8.0171913E+001, 2.3668877E+001, 1.9999284E+001, 1.9999293E+001, 1.9999090E+001, 1.9999287E+001, 1.9999304E+001, 1.9999311E+001, 1.2185702E+000, 2.2423746E-001, 1.8233335E-001, 2.0355911E-001, 1.7271605E-001, 1.7183256E-001, 6.8170925E-001, 2.0035070E+001, 1.4038319E-003, 2.0000045E+001, 6.3962754E-005, 2.0000002E+001,-2.7159379E-006, 2.0000000E+001,-2.8822198E-006, 1.9999999E+001,-2.9747761E-006, 2.0000000E+001,-2.6713723E-006,-2.8794376E-006,-2.9190834E-006, 3.8583639E-003, 3.9084634E-003, 1.0311267E+000
 2.5021545E+000, 2.9719791E+002, 1.5114922E+002, 8.0642087E+001, 9.0579818E+001, 5.1029405E+001, 2.6623846E+001, 1.9997691E+001, 1.9997793E+001, 1.9998060E+001, 1.9998069E+001, 1.7486115E+000, 1.4788180E+000, 4.6766216E-001, 4.5305815E-001, 3.6968919E-001, 3.4920365E-001, 6.0778506E-001, 2.0072759E+001, 3.1758759E-001, 2.0013555E+001, 1.1213590E-001, 2.0002409E+001, 2.2322568E-005, 2.0000000E+001,-1.6893003E-006, 1.9999999E+001,-7.4697992E-006, 1.9999999E+001,-2.2078393E-007,-4.4138486E-006,-7.3736948E-006, 8.4378582E-003, 7.7845649E-003, 1.2789649E+000
 3.0027638E+000, 2.6443526E+002, 7.5401236E+001, 6.7700076E+001, 8.4266880E+001, 7.3837409E+001, 6.4175387E+001, 4.0793861E+001, 2.7617924E+001, 2.2859930E+001, 1.9995590E+001, 1.0003514E+000, 1.6847010E+000, 1.3718342E+000, 9.1154914E-001, 7.2279527E-001, 6.1330005E-001, 5.0656499E-001, 2.0117470E+001, 3.8854111E-001, 2.0035247E+001, 2.5359723E-001, 2.0017836E+001, 1.1712241E-001, 2.0003306E+001, 3.0188618E-002, 2.0000695E+001, 1.2713037E-004, 2.0000000E+001, 7.2258145E-003, 8.1691243E-003, 3.8064323E-005, 1.3272843E-002, 1.2301697E-002, 1.3919874E+000
 3.5002953E+000, 7.5072604E+002, 2.2290032E+002, 1.4883477E+002, 7.4459708E+001, 7.4336207E+001, 7.3812563E+001, 4.8084208E+001, 4.7982181E+001, 4.2517405E+001, 3.7287580E+001, 1.3931857E+000, 1.6017533E+000, 1.7156201E+000, 6.7780928E-001, 6.9223102E-001, 9.0204075E-001, 1.4281652E+000, 2.0169998E+001, 2.9132841E-001, 2.0061368E+001, 3.0311889E-001, 2.0037652E+001, 2.8212178E-001, 2.0019271E+001, 1.9497927E-001, 2.0009214E+001, 9.0816690E-002, 2.0002723E+001, 8.5477384E-002, 9.8355225E-002, 6.8602984E-002, 1.6721458E-002, 1.6011459E-002, 2.1907644E+000
 4.0022382E+000, 6.4344199E+002, 2.6715624E+002, 1.6728567E+002, 1.5754321E+002, 8.2977714E+001, 7.3506462E+001, 5.7763207E+001, 6.1002458E+001, 5.9596906E+001, 5.9183242E+001, 1.7129869E+000, 2.4510916E+000, 1.7667642E+000, 8.5457759E-001, 7.5031655E-001, 1.0117218E+000, 1.3783138E+000, 2.0282553E+001, 7.1639232E-001, 2.0098407E+001, 4.0791381E-001, 2.0058271E+001, 3.2460265E-001, 2.0040979E+001, 2.8055726E-001, 2.0025985E+001, 1.9689933E-001, 2.0013953E+001, 1.6949230E-001, 2.0480408E-001, 1.9223789E-001, 1.8121104E-002, 1.8849913E-002, 2.0846697E+000
