s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-1.8690437E-003, 4.8654144E-003, 7.2162926E-004, 7.2509211E-003, 0.0000000E+000,-5.3181273E-003,-1.1048314E-004, 2.0000000E+001,-1.2870213E-004, 2.0000000E+001,-1.2439407E-004, 2.0000000E+001,-8.8493468E-005, 2.0000000E+001,-4.6102608E-004, 2.0000000E+001,-4.5570008E-005, 2.0000000E+001,-9.0250653E-005,-4.7240431E-004,-4.9983497E-005, 5.1311565E-005, 0.0000000E+000, 0.0000000E+000
 5.0501017E-001, 2.0000800E+001, 2.0000011E+001, 1.9999997E+001, 1.9999994E+001, 2.0000003E+001, 2.0000000E+001, 1.9999994E+001, 1.9999997E+001, 2.0000003E+001, 1.9999992E+001,-8.4487356E-004, 4.3019490E-003,-3.4929627E-004, 6.1117711E-003, 7.2769160E-005,-3.9532424E-003, 3.6707009E-004, 2.0000005E+001, 2.1838740E-006, 2.0000000E+001,-2.1139533E-006, 2.0000000E+001,-1.1770876E-006, 2.0000000E+001,-1.3050621E-005, 1.9999999E+001,-5.3451303E-007, 2.0000000E+001,-1.2025625E-006,-1.2586953E-005,-6.1816340E-007, 5.6031972E-005, 3.1225858E-006, 1.3994341E-001
 1.0012319E+000, 3.8378171E+001, 2.0000930E+001, 2.0000061E+001, 1.9999984E+001, 2.0000007E+001, 2.0000000E+001, 1.9999988E+001, 1.9999997E+001, 2.0000008E+001, 1.9999984E+001, 3.2303108E-003, 3.6331409E-003,-9.4905480E-004, 4.4066385E-003, 2.3191751E-004,-2.2247300E-003, 1.5120044E-002, 2.0000484E+001, 1.1955050E-004, 2.0000004E+001, 4.1872995E-006, 2.0000000E+001, 1.4629356E-008, 2.0000000E+001,-5.9625702E-009, 1.9999999E+001, 5.6172308E-009, 2.0000000E+001,-4.3214603E-009, 5.0837193E-008,-5.5633933E-008, 5.8549247E-005, 5.5114637E-006, 4.6180817E-001
 1.5006304E+000, 1.5257278E+002, 4.1050215E+001, 2.0000322E+001, 1.9999993E+001, 2.0000008E+001, 1.9999998E+001, 1.9999985E+001, 1.9999997E+001, 2.0000009E+001, 1.9999982E+001, 2.9235898E-001, 1.6133162E-003,-8.8309128E-004, 3.1649408E-003, 2.2753973E-004,-1.5344973E-003, 9.5967905E-002, 2.0003203E+001, 1.4399017E-004, 2.0000014E+001, 1.1067718E-005, 2.0000001E+001, 1.7656603E-008, 2.0000000E+001, 8.1129106E-009, 1.9999999E+001,-2.6048433E-009, 2.0000000E+001, 8.8297709E-010, 5.0563205E-008,-4.7793857E-008, 2.1455561E-005, 4.2468456E-006, 7.4274451E-001
 2.0000934E+000, 1.7046673E+002, 1.2500482E+002, 4.5399260E+001, 2.0000023E+001, 2.0000010E+001, 1.9999998E+001, 1.9999985E+001, 1.9999996E+001, 2.0000010E+001, 1.9999982E+001, 1.2267169E+000, 9.5450791E-003,-7.1516460E-004, 2.3333654E-003, 2.3598028E-004,-1.0886438E-003, 8.1334857E-001, 2.0043564E+001, 4.9663165E-004, 2.0000034E+001, 4.5330225E-005, 2.0000002E+001, 1.4768687E-008, 2.0000000E+001, 7.7072046E-009, 1.9999999E+001,-1.1410838E-008, 2.0000000E+001, 2.4751010E-009, 4.8103926E-008,-3.4129836E-008, 1.6054322E-004, 3.4709727E-006, 1.0610650E+000
 2.5022275E+000, 2.3609504E+002, 1.0356850E+002, 1.3174971E+002, 4.0412799E+001, 2.0000019E+001, 2.0000003E+001, 1.9999984E+001, 1.9999997E+001, 2.0000010E+001, 1.9999983E+001, 1.0144599E+000, 1.8720973E-001,-4.6098615E-004, 1.7673461E-003, 2.3783828E-004,-7.9011122E-004, 6.1322766E-001, 2.0087018E+001, 9.9852014E-002, 2.0001394E+001, 2.3676712E-004, 2.0000011E+001, 9.9546343E-009, 2.0000000E+001, 5.1263155E-009, 1.9999999E+001,-1.8357964E-008, 2.0000000E+001, 1.2429846E-009, 4.7160725E-008,-2.1192650E-008, 1.2419961E-003, 3.0332756E-006, 1.4099324E+000
 3.0011358E+000, 9.0342141E+001, 1.6021157E+002, 1.7097659E+002, 1.0529547E+002, 2.4520483E+001, 2.0000002E+001, 1.9999984E+001, 1.9999997E+001, 2.0000010E+001, 1.9999984E+001, 1.5145353E+000, 7.6366668E-001, 4.6628081E-003, 1.3722594E-003, 2.2464304E-004,-5.9793379E-004, 9.8966900E-001, 2.0144565E+001, 4.9983558E-001, 2.0027337E+001, 8.9018602E-003, 2.0000141E+001, 4.5938402E-009, 2.0000000E+001, 1.8926280E-009, 1.9999999E+001,-2.3070558E-008, 2.0000000E+001,-1.7294802E-009, 4.6164758E-008,-1.0832722E-008, 4.3994972E-003, 2.6942417E-006, 1.6382350E+000
 3.5014701E+000, 2.0944951E+002, 1.3826348E+002, 1.1759557E+002, 1.3928781E+002, 8.3165056E+001, 2.0000089E+001, 1.9999985E+001, 1.9999997E+001, 2.0000010E+001, 1.9999986E+001, 1.4107218E+000, 8.6563643E-001,-1.0122671E-002, 1.0791601E-003, 1.9320781E-004,-4.6118918E-004, 9.6186074E-001, 2.0212884E+001, 7.2694416E-001, 2.0072839E+001, 2.2671075E-001, 2.0006301E+001,-1.4424315E-010, 2.0000000E+001,-9.5084458E-010, 1.9999999E+001,-2.5572541E-008, 2.0000000E+001,-5.1180538E-009, 4.5076496E-008,-2.9513937E-009, 5.9025015E-003, 2.6530253E-006, 1.8486927E+000
 4.0016454E+000, 6.0281374E+002, 2.8770736E+002, 1.7718360E+002, 1.0516449E+002, 1.0333563E+002, 6.0750630E+001, 1.9999985E+001, 1.9999998E+001, 2.0000010E+001, 1.9999988E+001, 1.7412721E+000, 1.6959856E-001, 2.3340912E-001, 8.6862911E-004, 1.6237333E-004,-3.6204585E-004, 2.1371523E+000, 2.0327047E+001, 4.6657804E-001, 2.0110135E+001, 4.3860592E-001, 2.0035392E+001,-4.0880266E-009, 2.0000000E+001,-3.2896974E-009, 1.9999999E+001,-2.6573238E-008, 2.0000000E+001,-8.4914206E-009, 4.3702459E-008, 2.6470555E-009, 6.6209324E-003, 2.5732014E-006, 2.2766725E+000
 4.5000952E+000, 4.5294777E+002, 1.5618693E+002, 1.6758270E+002, 1.6925135E+002, 1.1964362E+002, 7.4343034E+001, 1.9999986E+001, 1.9999998E+001, 2.0000010E+001, 1.9999989E+001, 3.5859317E-001, 8.3393912E-001, 4.3641000E-001, 6.9933236E-004, 1.1614510E-004,-3.0865476E-004, 1.1569764E+000, 2.0423957E+001, 9.6555073E-001, 2.0165390E+001, 5.0900692E-001, 2.0065113E+001,-7.0561825E-009, 2.0000000E+001,-4.9395076E-009, 1.9999999E+001,-2.6218477E-008, 2.0000000E+001,-1.1383515E-008, 4.2233098E-008, 6.6993517E-009, 5.2838282E-003, 2.6261133E-006, 2.7942845E+000
 5.0010710E+000, 1.3840085E+002, 2.1285650E+002, 2.7783326E+002, 2.4454319E+002, 1.4383512E+002, 1.2655537E+002, 1.9999986E+001, 1.9999999E+001, 2.0000010E+001, 1.9999991E+001, 4.7712821E-001, 7.7917125E-001, 6.1317796E-001, 5.7149368E-004, 7.7667505E-005,-2.6245150E-004, 1.3693972E+000, 2.0525549E+001, 1.3109742E+000, 2.0238295E+001, 6.0007734E-001, 2.0105610E+001,-9.1191172E-009, 2.0000000E+001,-5.8053567E-009, 1.9999999E+001,-2.4930839E-008, 2.0000000E+001,-1.3618439E-008, 4.0776009E-008, 9.5996160E-009, 2.9897238E-003, 2.0896465E-006, 2.7222159E+000
 5.5007623E+000, 1.7936488E+002, 3.3034439E+002, 2.9733212E+002, 2.3449976E+002, 2.0322158E+002, 1.4156016E+002, 1.9999987E+001, 1.9999999E+001, 2.0000010E+001, 1.9999992E+001, 1.1679745E+000, 6.6777433E-001, 3.2412328E-001, 4.9504479E-004, 6.3415851E-005,-2.2261940E-004, 2.8555678E+000, 2.0669950E+001, 1.4012847E+000, 2.0332598E+001, 9.1380684E-001, 2.0158847E+001,-1.0679030E-008, 2.0000000E+001,-6.2410915E-009, 1.9999999E+001,-2.3136234E-008, 2.0000000E+001,-1.5437508E-008, 3.9155384E-008, 1.1563553E-008, 4.5593317E-003, 2.7477713E-006, 2.9880648E+000
 6.0007969E+000, 2.4578064E+002, 3.2843749E+002, 1.9374053E+002, 2.1824351E+002, 2.0274709E+002, 1.7722198E+002, 1.9999988E+001, 2.0000000E+001, 2.0000009E+001, 1.9999993E+001, 9.8187288E-001, 3.4089688E-001, 5.8151928E-001, 3.9683968E-004, 1.4262597E-005,-2.0659076E-004, 2.1305512E+000, 2.0855890E+001, 1.2867229E+000, 2.0436086E+001, 1.0461890E+000, 2.0231598E+001,-1.1694296E-008, 2.0000000E+001,-6.3045949E-009, 1.9999999E+001,-2.0982376E-008, 2.0000000E+001,-1.6714274E-008, 3.7501249E-008, 1.2918410E-008, 5.7151398E-003, 3.3692888E-006, 2.6297416E+000
 6.5009722E+000, 4.8345124E+002, 2.3004487E+002, 1.7608905E+002, 2.0073551E+002, 1.5374934E+002, 1.4389715E+002, 1.9999989E+001, 2.0000000E+001, 2.0000009E+001, 1.9999994E+001, 3.9252862E-001, 2.9753436E-001, 2.5573682E-001, 3.6912435E-004, 2.6251523E-005,-1.1672001E-004, 1.6849969E+000, 2.0975777E+001, 1.0728305E+000, 2.0509747E+001, 7.2447010E-001, 2.0286840E+001,-1.2255397E-008, 2.0000000E+001,-5.9381258E-009, 1.9999999E+001,-1.9129099E-008, 2.0000000E+001,-1.7464773E-008, 3.5911599E-008, 1.3355659E-008, 5.6701602E-003, 3.0498000E-006, 3.1460119E+000
