s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2270180E-006, 1.1008290E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2270070E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0012319E+000, 2.9946319E-001, 0.0000000E+000,-1.0509975E-001, 2.4826853E-003,-2.5197060E-002,-2.1041007E-005, 0.0000000E+000, 0.0000000E+000, 1.6846493E-001, 1.7162802E-001, 0.0000000E+000, 6.8789767E-006, 0.0000000E+000
 2.0000935E+000, 9.0191505E-001, 0.0000000E+000,-2.8211818E-001, 7.4610967E-003,-1.6981611E-001,-5.9377786E-005, 0.0000000E+000, 0.0000000E+000, 4.5636208E-001, 4.5738248E-001, 0.0000000E+000, 2.0476608E-005, 0.0000000E+000
 3.0011358E+000, 1.5237158E+000, 0.0000000E+000,-4.4723068E-001, 7.9936864E-003,-3.7002823E-001,-9.8175528E-005, 0.0000000E+000, 0.0000000E+000, 7.1394537E-001, 7.1435243E-001, 0.0000000E+000, 3.4096045E-005, 0.0000000E+000
 4.0016456E+000, 2.0626486E+000, 0.0000000E+000,-6.2720176E-001,-3.9409634E-002,-6.1929349E-001,-1.3059758E-004, 0.0000000E+000, 0.0000000E+000, 7.7891127E-001, 7.7661310E-001, 0.0000000E+000, 4.7727981E-005, 0.0000000E+000
 5.0010710E+000, 2.7581591E+000, 0.0000000E+000,-8.4749093E-001,-1.4364450E-001,-9.6571088E-001,-1.6533181E-004, 0.0000000E+000, 0.0000000E+000, 8.1057590E-001, 8.0114749E-001, 0.0000000E+000, 6.1357933E-005, 0.0000000E+000
 6.0007968E+000, 2.8088416E+000, 0.0000000E+000,-9.0995469E-001,-3.0562975E-001,-1.2298439E+000,-1.8232303E-004, 0.0000000E+000, 0.0000000E+000, 3.7447788E-001, 3.6323092E-001, 0.0000000E+000, 7.4978790E-005, 0.0000000E+000
 7.0000734E+000, 4.1607440E+000, 0.0000000E+000,-1.3454470E+000,-3.2247562E-001,-1.5955989E+000,-1.9308654E-004, 0.0000000E+000, 0.0000000E+000, 9.0755145E-001, 8.9702944E-001, 0.0000000E+000, 8.8598841E-005, 0.0000000E+000
 8.0008421E+000, 4.1028656E+000, 0.0000000E+000,-1.5153409E+000,-2.7696410E-001,-2.1754327E+000,-2.3063844E-004, 0.0000000E+000, 0.0000000E+000, 1.4896551E-001, 1.3489733E-001, 0.0000000E+000, 1.0222047E-004, 0.0000000E+000
 9.0017214E+000, 4.7107359E+000, 0.0000000E+000,-1.7122256E+000,-2.4452430E-001,-2.3634407E+000,-2.4401104E-004, 0.0000000E+000, 0.0000000E+000, 3.9121991E-001, 3.9030134E-001, 0.0000000E+000, 1.1586035E-004, 0.0000000E+000
 1.0000109E+001, 5.5375118E+000, 0.0000000E+000,-2.2068380E+000,-3.7301156E-001,-2.7724543E+000,-2.8005916E-004, 0.0000000E+000, 0.0000000E+000, 2.0072618E-001, 1.8492790E-001, 0.0000000E+000, 1.2948435E-004, 0.0000000E+000
 1.1000257E+001, 3.7937469E+000, 0.0000000E+000,-1.6855045E+000,-2.0481096E-002,-2.2838108E+000,-2.0877359E-004, 0.0000000E+000, 0.0000000E+000,-1.9050207E-001,-1.9625829E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.2002723E+001, 2.9880810E+000, 0.0000000E+000,-1.4783665E+000,-1.0455059E-002,-1.9993483E+000,-1.7483962E-004, 0.0000000E+000, 0.0000000E+000,-4.9589992E-001,-5.0026364E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.3000932E+001, 3.0274593E+000, 0.0000000E+000,-1.3457650E+000,-7.4703058E-003,-1.6835149E+000,-1.8640751E-004, 0.0000000E+000, 0.0000000E+000,-1.0237701E-002,-9.4773361E-003, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.4000389E+001, 2.4357833E+000, 0.0000000E+000,-1.1702028E+000,-1.1054703E-002,-1.5735595E+000,-1.7027810E-004, 0.0000000E+000, 0.0000000E+000,-3.1557328E-001,-3.1920407E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.5001596E+001, 2.5788172E+000, 0.0000000E+000,-1.1547865E+000,-6.9830125E-002,-1.4000227E+000,-1.7527141E-004, 0.0000000E+000, 0.0000000E+000,-4.4957831E-002,-4.5997401E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.6000013E+001, 1.7343040E+000, 0.0000000E+000,-8.4404924E-001,-6.5113424E-003,-1.2139266E+000,-1.5937209E-004, 0.0000000E+000, 0.0000000E+000,-3.2921316E-001,-3.3034261E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.7000828E+001, 2.0857731E+000, 0.0000000E+000,-8.9904801E-001,-2.9690634E-002,-1.1972482E+000,-1.5709385E-004, 0.0000000E+000, 0.0000000E+000,-4.1129802E-002,-4.0370813E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.8000353E+001, 2.1523927E+000, 0.0000000E+000,-8.9923810E-001,-1.8070044E-001,-1.0683973E+000,-1.2623773E-004, 0.0000000E+000, 0.0000000E+000, 5.0639665E-003, 3.9306359E-003, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.9001005E+001, 1.4919884E+000, 0.0000000E+000,-6.9456615E-001,-5.2721354E-002,-1.0453809E+000,-1.9338064E-004, 0.0000000E+000, 0.0000000E+000,-2.9723708E-001,-3.0087343E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.0000244E+001, 1.3903972E+000, 0.0000000E+000,-6.0104896E-001,-1.1035813E-001,-8.5728238E-001,-1.1703612E-004, 0.0000000E+000, 0.0000000E+000,-1.7957517E-001,-1.7840935E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.1002529E+001, 1.9887503E+000, 0.0000000E+000,-7.7964008E-001,-2.5335441E-001,-9.3716902E-001,-1.9722018E-004, 0.0000000E+000, 0.0000000E+000, 2.3238793E-002, 1.8389522E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.2000763E+001, 2.0438677E+000, 0.0000000E+000,-7.6940733E-001,-4.9035383E-001,-7.9342229E-001,-1.5756644E-004, 0.0000000E+000, 0.0000000E+000,-1.1337894E-002,-9.4732572E-003, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.3000866E+001, 2.6498461E+000, 0.0000000E+000,-1.0215649E+000,-5.1712752E-001,-1.0024363E+000,-2.0457122E-004, 0.0000000E+000, 0.0000000E+000, 1.2447256E-001, 1.0851285E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.4001854E+001, 1.4078334E+000, 0.0000000E+000,-5.9085743E-001,-2.2216126E-001,-8.0849011E-001,-1.7846627E-004, 0.0000000E+000, 0.0000000E+000,-2.1036772E-001,-2.1385387E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.5002016E+001, 1.9837046E+000, 0.0000000E+000,-7.5559165E-001,-3.6530615E-001,-7.6620022E-001,-1.8341755E-004, 0.0000000E+000, 0.0000000E+000, 9.6795151E-002, 9.6423183E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 2.6002348E+001, 2.4634003E+000, 0.0000000E+000,-9.4249578E-001,-5.0883880E-001,-9.0278454E-001,-2.3292064E-004, 0.0000000E+000, 0.0000000E+000, 1.1991792E-001, 1.0904824E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
