s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8221971E-007,-6.9801522E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8228951E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0095004E+000, 3.1885702E-001, 0.0000000E+000,-1.2807669E-001, 2.9179865E-003,-1.9040282E-002,-2.1104191E-005, 0.0000000E+000, 0.0000000E+000, 1.6730028E-001, 1.7463693E-001, 0.0000000E+000, 7.0072872E-006, 0.0000000E+000
 2.0008054E+000, 9.2165185E-001, 0.0000000E+000,-3.1336752E-001, 8.4166417E-003,-1.1142544E-001,-5.9516029E-005, 0.0000000E+000, 0.0000000E+000, 5.0230905E-001, 5.0521601E-001, 0.0000000E+000, 2.0575148E-005, 0.0000000E+000
 3.0018036E+000, 1.4727733E+000, 0.0000000E+000,-4.5464287E-001, 1.2682990E-002,-2.8835497E-001,-9.3718381E-005, 0.0000000E+000, 0.0000000E+000, 7.3753471E-001, 7.4236477E-001, 0.0000000E+000, 3.4127384E-005, 0.0000000E+000
 4.0019851E+000, 2.1785154E+000, 0.0000000E+000,-6.6383176E-001,-6.5244776E-001,-6.0464180E-001,-1.3032469E-004, 0.0000000E+000, 0.0000000E+000, 2.9706570E-001, 2.5746374E-001, 0.0000000E+000, 4.7749949E-005, 0.0000000E+000
 5.0039020E+000, 2.6857524E+000, 0.0000000E+000,-7.8661462E-001,-8.6495305E-001,-6.8223837E-001,-1.6214858E-004, 0.0000000E+000, 0.0000000E+000, 3.7231427E-001, 3.5178418E-001, 0.0000000E+000, 6.1391805E-005, 0.0000000E+000
 6.0017161E+000, 2.7330732E+000, 0.0000000E+000,-8.0997422E-001,-1.2492287E+000,-7.7147257E-001,-1.8308829E-004, 0.0000000E+000, 0.0000000E+000,-4.4678543E-002,-9.7785388E-002, 0.0000000E+000, 7.5016477E-005, 0.0000000E+000
 7.0024877E+000, 4.0039271E+000, 0.0000000E+000,-1.1687961E+000,-1.4948081E+000,-9.4519735E-001,-2.1625317E-004, 0.0000000E+000, 0.0000000E+000, 4.3690585E-001, 3.9490930E-001, 0.0000000E+000, 8.8628176E-005, 0.0000000E+000
 8.0012665E+000, 2.9820770E+000, 0.0000000E+000,-8.8962432E-001,-1.4343760E+000,-8.6341822E-001,-2.0278959E-004, 0.0000000E+000, 0.0000000E+000,-1.5474081E-001,-2.0554431E-001, 0.0000000E+000, 1.0225411E-004, 0.0000000E+000
 9.0030832E+000, 4.1385746E+000, 0.0000000E+000,-1.2389613E+000,-1.4711692E+000,-9.9525509E-001,-1.9707739E-004, 0.0000000E+000, 0.0000000E+000, 4.8167897E-001, 4.3299192E-001, 0.0000000E+000, 1.1589489E-004, 0.0000000E+000
