s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.0938929E-003,-4.2430834E-003, 1.5467856E-003, 4.4728706E-003,-8.4187330E-003, 4.0511168E-003,-2.1491640E-005, 2.0000000E+001,-2.1539980E-005, 2.0000000E+001,-2.1527599E-005, 2.0000000E+001,-2.1280605E-005, 2.0000000E+001,-2.0622369E-005, 2.0000000E+001,-1.5856270E-005, 2.0000000E+001,-2.3950639E-005,-2.3264290E-005,-1.8118253E-005, 5.7046622E-005, 5.1494362E-005, 0.0000000E+000
 5.0432865E-001, 2.0000282E+001, 2.0000023E+001, 1.9999994E+001, 2.0000017E+001, 1.9999992E+001, 1.9999992E+001, 1.9999997E+001, 2.0000006E+001, 2.0000000E+001, 2.0000002E+001, 5.2085943E-003,-4.4309739E-003, 1.7503113E-003, 3.7332353E-003,-7.5791559E-003, 4.2218643E-003, 8.3680330E-004, 2.0000010E+001, 2.6770450E-005, 2.0000000E+001, 3.4864781E-006, 2.0000000E+001, 1.9831464E-009, 2.0000000E+001,-9.7234130E-008, 2.0000000E+001,-7.4816922E-008, 2.0000000E+001, 4.5597479E-011,-1.1947554E-007,-6.4198969E-008, 5.1471972E-005, 4.6831804E-005, 1.4520190E-001
 1.0095004E+000, 2.9497598E+001, 2.0002585E+001, 2.0000397E+001, 2.0000070E+001, 1.9999981E+001, 1.9999981E+001, 1.9999994E+001, 2.0000013E+001, 2.0000000E+001, 2.0000000E+001, 2.9518181E-002, 4.7675926E-003, 3.5420058E-003, 2.9478511E-003,-6.0984231E-003, 4.3515607E-003, 2.1930168E-002, 2.0000715E+001, 5.7879696E-004, 2.0000020E+001, 7.6229855E-005, 2.0000003E+001, 2.2531885E-006, 2.0000000E+001, 4.2199165E-007, 2.0000000E+001, 5.5706162E-008, 2.0000000E+001, 1.9546466E-006, 3.2993862E-007, 8.6580629E-008, 2.2979989E-004, 3.9881891E-005, 4.9222233E-001
 1.5013161E+000, 2.1015399E+002, 5.2363062E+001, 2.0002149E+001, 2.0000092E+001, 1.9999875E+001, 1.9999901E+001, 1.9999940E+001, 1.9999969E+001, 1.9999964E+001, 1.9999955E+001, 3.3811429E-001, 6.2593575E-002, 4.8806152E-002, 3.9991961E-002, 3.0357487E-002, 3.6668507E-002, 1.6196015E-001, 2.0004455E+001, 9.9253756E-004, 2.0000075E+001, 1.3011142E-004, 2.0000010E+001, 4.3028430E-006, 2.0000000E+001, 8.1881285E-007, 2.0000000E+001, 4.7433591E-008, 2.0000000E+001, 3.7992031E-006, 7.1006335E-007, 6.2274006E-008, 1.5122524E-003, 8.3551507E-004, 7.4822111E-001
 2.0008053E+000, 2.7345572E+002, 6.5987073E+001, 8.1660770E+001, 2.6526466E+001, 1.9999398E+001, 1.9999377E+001, 1.9999408E+001, 1.9999396E+001, 1.9999414E+001, 1.9999391E+001, 6.7852379E-001, 2.0776166E-001, 1.8696125E-001, 1.8743931E-001, 1.8848597E-001, 1.9207242E-001, 3.6274746E-001, 2.0032583E+001, 4.8447945E-003, 2.0000196E+001, 2.0972912E-004, 2.0000022E+001, 7.5119813E-006, 2.0000001E+001, 3.9765263E-007, 2.0000000E+001,-1.3621111E-006, 2.0000000E+001, 6.2908772E-006, 8.2547317E-008,-1.3532766E-006, 4.2103765E-003, 4.4182492E-003, 1.0924182E+000
 2.5039610E+000, 3.0682950E+002, 1.0384169E+002, 7.0005606E+001, 5.6266537E+001, 3.1958071E+001, 2.0779612E+001, 1.9998048E+001, 1.9998075E+001, 1.9998072E+001, 1.9998085E+001, 1.4690995E+000, 5.1163720E-001, 4.0337344E-001, 3.9258306E-001, 3.8776728E-001, 3.8713193E-001, 4.5220760E-001, 2.0056370E+001, 1.1829553E-001, 2.0003737E+001, 1.8409638E-002, 2.0000390E+001, 2.9026005E-005, 2.0000002E+001, 3.9618372E-006, 2.0000000E+001,-3.7935926E-006, 2.0000000E+001, 2.1640626E-005, 1.6418658E-006,-4.1294889E-006, 8.0695202E-003, 8.9405947E-003, 1.2638267E+000
 3.0018036E+000, 6.7471032E+002, 1.5303114E+002, 7.6807737E+001, 9.3114273E+001, 5.4335283E+001, 4.3556104E+001, 2.3996072E+001, 2.0017286E+001, 1.9995604E+001, 1.9995619E+001, 1.8135967E+000, 1.4411189E+000, 5.7999864E-001, 5.8398475E-001, 6.3096924E-001, 6.6523808E-001, 9.7223350E-001, 2.0105020E+001, 4.8440785E-001, 2.0026174E+001, 1.6853669E-001, 2.0005826E+001, 1.3458198E-002, 2.0000136E+001, 8.9711125E-005, 2.0000002E+001, 5.4023044E-006, 2.0000000E+001, 8.1179717E-003, 1.2659106E-004, 3.8765901E-006, 1.3168857E-002, 1.4861962E-002, 1.6839499E+000
 3.5017337E+000, 8.1374313E+002, 3.5085158E+002, 1.6901276E+002, 1.2891666E+002, 1.0479075E+002, 8.1597232E+001, 6.9341118E+001, 5.4223339E+001, 4.3960567E+001, 3.3615003E+001, 2.3495599E+000, 2.2681459E+000, 1.3468701E+000, 1.0589507E+000, 9.5542513E-001, 9.6326444E-001, 2.4407772E+000, 2.0217788E+001, 6.8162222E-001, 2.0065989E+001, 5.8078049E-001, 2.0034612E+001, 2.3712360E-001, 2.0009581E+001, 1.5972909E-001, 2.0004750E+001, 9.9104918E-002, 2.0001560E+001, 2.7420045E-001, 1.5101105E-001, 5.0435803E-002, 1.8761714E-002, 1.9057380E-002, 2.1419477E+000
 4.0019850E+000, 6.7997705E+002, 2.7434633E+002, 1.6939715E+002, 1.0827619E+002, 1.0285880E+002, 9.3323419E+001, 7.3624874E+001, 6.5801303E+001, 7.2202038E+001, 7.9847817E+001, 1.2622088E+000, 1.9214553E+000, 2.1874565E+000, 1.5393603E+000, 1.3052574E+000, 1.2379165E+000, 2.5126287E+000, 2.0411802E+001, 7.6616378E-001, 2.0120683E+001, 6.7317635E-001, 2.0081317E+001, 3.4846054E-001, 2.0031594E+001, 2.5188230E-001, 2.0022057E+001, 3.1724752E-001, 2.0021071E+001, 3.2610213E-001, 2.8488199E-001, 3.0812902E-001, 2.2051972E-002, 2.1602972E-002, 2.2150595E+000
