s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 4.9000660E+001, 6.1230052E+000, 0.0000000E+000,-1.8635497E+000,-2.9821285E+000,-1.4959143E+000,-1.2358675E-004, 0.0000000E+000, 0.0000000E+000,-1.2519185E-001,-2.1871083E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.0001736E+001, 5.7992962E+000, 0.0000000E+000,-1.7453471E+000,-2.7923599E+000,-1.4125160E+000,-1.2184538E-004, 0.0000000E+000, 0.0000000E+000,-6.3445371E-002,-1.5104863E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.1000587E+001, 6.1787103E+000, 0.0000000E+000,-1.8474326E+000,-2.6537374E+000,-1.4078710E+000,-1.1854909E-004, 0.0000000E+000, 0.0000000E+000, 3.5581328E-001, 2.6955079E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.2001240E+001, 6.0983931E+000, 0.0000000E+000,-1.8383827E+000,-2.9531891E+000,-1.4733533E+000,-1.1819950E-004, 0.0000000E+000, 0.0000000E+000,-6.6953951E-002,-1.6665014E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.3000343E+001, 6.3018627E+000, 0.0000000E+000,-1.8939054E+000,-2.9173985E+000,-1.4308505E+000,-1.2144657E-004, 0.0000000E+000, 0.0000000E+000, 1.4621582E-001, 5.9586815E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.4001083E+001, 6.1480075E+000, 0.0000000E+000,-1.8674299E+000,-3.0531177E+000,-1.5495057E+000,-1.2071784E-004, 0.0000000E+000, 0.0000000E+000,-2.0569347E-001,-3.2216646E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.5000107E+001, 6.3659190E+000, 0.0000000E+000,-1.9215756E+000,-2.8524003E+000,-1.5254622E+000,-1.2322749E-004, 0.0000000E+000, 0.0000000E+000, 1.5232877E-001, 6.6357583E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.6002945E+001, 6.2142501E+000, 0.0000000E+000,-1.8665680E+000,-3.1452906E+000,-1.5887787E+000,-1.2642309E-004, 0.0000000E+000, 0.0000000E+000,-2.9046616E-001,-3.8651360E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.7000397E+001, 6.1190070E+000, 0.0000000E+000,-1.8575128E+000,-2.7452465E+000,-1.4186121E+000,-1.2468729E-004, 0.0000000E+000, 0.0000000E+000, 1.7196076E-001, 9.7510992E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.8000488E+001, 6.2886263E+000, 0.0000000E+000,-1.8895888E+000,-2.9730333E+000,-1.5030129E+000,-1.2729918E-004, 0.0000000E+000, 0.0000000E+000, 2.0894795E-002,-7.7135974E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.9001396E+001, 5.7468707E+000, 0.0000000E+000,-1.7371796E+000,-2.7376659E+000,-1.4514297E+000,-1.2237779E-004, 0.0000000E+000, 0.0000000E+000,-7.6949013E-002,-1.7952694E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.0001984E+001, 6.1955499E+000, 0.0000000E+000,-1.8744067E+000,-3.1226552E+000,-1.5173174E+000,-1.2403062E-004, 0.0000000E+000, 0.0000000E+000,-2.1202558E-001,-3.1895337E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.1000839E+001, 6.5355030E+000, 0.0000000E+000,-1.9503270E+000,-2.8172193E+000,-1.4869410E+000,-1.2906712E-004, 0.0000000E+000, 0.0000000E+000, 3.8059490E-001, 2.8088672E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.2001537E+001, 5.8090354E+000, 0.0000000E+000,-1.7699079E+000,-2.8932691E+000,-1.4886041E+000,-1.3414599E-004, 0.0000000E+000, 0.0000000E+000,-2.4744701E-001,-3.4287982E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
