s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 4.5001114E+000, 5.4224504E+002, 2.2515389E+002, 1.8068432E+002, 1.2145849E+002, 9.4487121E+001, 9.7766743E+001, 8.8080902E+001, 8.7002522E+001, 8.1678768E+001, 7.7404506E+001, 1.0480822E+000, 2.0653157E+000, 2.0522063E+000, 1.1214343E+000, 6.4482680E-001, 1.1662986E+000, 1.2244859E+000, 2.0658846E+001, 5.1591734E-001, 2.0172525E+001, 4.5424336E-001, 2.0119661E+001, 6.7348931E-001, 2.0100521E+001, 5.1042615E-001, 2.0066717E+001, 3.6613139E-001, 2.0040889E+001, 2.6054263E-001, 2.9858194E-001, 3.0111716E-001, 2.1982735E-002, 1.9625191E-002, 2.1349873E+000
 5.0002967E+000, 9.7519405E+002, 5.3781639E+002, 2.4128716E+002, 1.9773956E+002, 1.4682051E+002, 1.1604678E+002, 7.7490357E+001, 8.2100114E+001, 7.0747447E+001, 7.3264792E+001, 2.0677124E+000, 2.2368934E+000, 2.0406598E+000, 1.2131283E+000, 7.1381510E-001, 1.1397301E+000, 5.9163019E+000, 2.0939574E+001, 1.4215003E+000, 2.0238249E+001, 9.9784713E-001, 2.0164234E+001, 6.6502644E-001, 2.0138491E+001, 4.5598892E-001, 2.0095966E+001, 3.0813343E-001, 2.0064203E+001, 2.5662795E-001, 2.7432858E-001, 2.6081144E-001, 2.0320948E-002, 2.1674228E-002, 3.0651351E+000
 5.5026509E+000, 1.1097967E+003, 4.7822986E+002, 2.5272582E+002, 1.4455903E+002, 1.1298404E+002, 9.8876111E+001, 9.1811055E+001, 9.5036680E+001, 9.5557551E+001, 8.9721811E+001, 1.8083515E+000, 1.9776168E+000, 1.9028521E+000, 1.4715662E+000, 1.1097971E+000, 1.2194921E+000, 5.7529872E+000, 2.1294190E+001, 7.0539394E-001, 2.0309580E+001, 6.0561164E-001, 2.0222564E+001, 6.8187340E-001, 2.0193144E+001, 5.3691911E-001, 2.0138158E+001, 4.7371149E-001, 2.0093034E+001, 2.7223234E-001, 3.7741156E-001, 3.4935940E-001, 2.1138288E-002, 2.1229997E-002, 2.4936746E+000
 6.0034138E+000, 9.8709702E+002, 5.3430135E+002, 3.6728928E+002, 2.6091316E+002, 1.7309773E+002, 1.2547305E+002, 8.9302271E+001, 9.0954852E+001, 7.9366754E+001, 7.0506282E+001, 2.2288159E+000, 2.7316430E+000, 2.4191775E+000, 1.5107776E+000, 1.1180692E+000, 1.1351978E+000, 3.7097988E+000, 2.1678194E+001, 1.3421773E+000, 2.0389042E+001, 9.9859972E-001, 2.0280279E+001, 7.7164211E-001, 2.0235527E+001, 5.6132131E-001, 2.0170372E+001, 3.4225239E-001, 2.0119219E+001, 2.3335599E-001, 2.6514006E-001, 2.3809845E-001, 1.9883241E-002, 1.9635352E-002, 2.4277648E+000
 6.5009714E+000, 1.0168616E+003, 7.9597642E+002, 3.2262424E+002, 1.8818848E+002, 1.4680194E+002, 1.2682145E+002, 9.7519709E+001, 8.6267191E+001, 8.7734984E+001, 8.5149693E+001, 2.5944872E+000, 2.4566605E+000, 2.3292719E+000, 1.6875567E+000, 1.2958521E+000, 1.4720608E+000, 7.7669474E+000, 2.2049618E+001, 1.0877907E+000, 2.0460853E+001, 8.4092199E-001, 2.0341329E+001, 7.9282153E-001, 2.0291866E+001, 6.2224609E-001, 2.0209100E+001, 4.5189038E-001, 2.0147305E+001, 2.3931479E-001, 2.6829940E-001, 2.8482955E-001, 1.9814538E-002, 2.0895730E-002, 3.3619623E+000
 7.0015991E+000, 9.1806412E+002, 7.7468978E+002, 6.7495408E+002, 4.8933220E+002, 3.0095422E+002, 2.6105875E+002, 1.6298564E+002, 1.1456303E+002, 1.1573679E+002, 1.0381352E+002, 2.5033089E+000, 3.8083028E+000, 3.2671113E+000, 1.9791267E+000, 1.4512704E+000, 1.8145124E+000, 1.3267643E+001, 2.2933279E+001, 4.4262949E+000, 2.0682036E+001, 2.4797394E+000, 2.0457958E+001, 2.0672894E+000, 2.0380895E+001, 1.3395030E+000, 2.0271860E+001, 8.0658944E-001, 2.0189439E+001, 4.5062497E-001, 3.8959117E-001, 3.2077007E-001, 2.0854036E-002, 2.2883153E-002, 5.4920971E+000
 7.5010069E+000, 6.3352791E+002, 3.6308502E+002, 1.8262010E+002, 1.4779583E+002, 1.0926635E+002, 9.4459994E+001, 1.0521687E+002, 1.0807833E+002, 1.1821180E+002, 1.3228393E+002, 1.4760296E+000, 1.9442520E+000, 1.8939365E+000, 1.2686312E+000, 1.1557464E+000, 1.4013046E+000, 3.0567229E+000, 2.3342604E+001, 8.8506885E-001, 2.0852349E+001, 5.9828717E-001, 2.0566977E+001, 5.9783619E-001, 2.0484068E+001, 6.1630505E-001, 2.0349310E+001, 6.4831549E-001, 2.0247951E+001, 4.2321314E-001, 4.8803938E-001, 6.1330720E-001, 2.3647531E-002, 2.1144286E-002, 2.4251034E+000
 8.0007508E+000, 7.9232824E+002, 4.6453203E+002, 3.0319666E+002, 1.6937729E+002, 1.1271634E+002, 9.3088136E+001, 6.1189019E+001, 7.0272109E+001, 7.0690130E+001, 7.8743779E+001, 1.4778917E+000, 2.0815249E+000, 1.7890411E+000, 1.5614468E+000, 1.1672582E+000, 1.0894242E+000, 3.2758916E+000, 2.3537527E+001, 8.8331689E-001, 2.0889927E+001, 5.3517924E-001, 2.0593642E+001, 4.3278229E-001, 2.0511369E+001, 2.8175454E-001, 2.0375229E+001, 3.0794899E-001, 2.0274423E+001, 2.5540487E-001, 2.4429844E-001, 3.1252630E-001, 2.2827814E-002, 2.3003351E-002, 2.5360449E+000
 8.5009322E+000, 8.6023595E+002, 8.3366118E+002, 5.3816460E+002, 2.9276796E+002, 2.0094983E+002, 1.6691417E+002, 1.2966071E+002, 1.0981559E+002, 9.5163238E+001, 8.4934919E+001, 2.4637143E+000, 3.0485149E+000, 2.5867377E+000, 1.9699814E+000, 1.5805273E+000, 1.6667266E+000, 8.5665534E+000, 2.4010590E+001, 1.9661681E+000, 2.0996151E+001, 1.2702639E+000, 2.0659876E+001, 1.1518311E+000, 2.0572112E+001, 9.6103105E-001, 2.0421279E+001, 5.8768591E-001, 2.0304058E+001, 3.3945092E-001, 3.3213936E-001, 2.8814925E-001, 2.2341153E-002, 2.2511677E-002, 3.7453027E+000
 9.0026575E+000, 1.0213369E+003, 7.4277739E+002, 4.1958713E+002, 2.6532040E+002, 1.8373279E+002, 1.4342831E+002, 1.1485389E+002, 1.0148986E+002, 9.0132781E+001, 9.2598071E+001, 2.3792013E+000, 2.6695782E+000, 2.4418542E+000, 1.6958516E+000, 1.2079124E+000, 1.4125481E+000, 8.6340279E+000, 2.4564604E+001, 1.5875889E+000, 2.1116751E+001, 1.0213366E+000, 2.0744031E+001, 1.0404072E+000, 2.0651117E+001, 8.4969814E-001, 2.0486913E+001, 7.0618525E-001, 2.0355087E+001, 3.6073991E-001, 2.9396289E-001, 3.5980209E-001, 2.1561634E-002, 2.2433968E-002, 3.5741034E+000
