s,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,kW/m2,kW/m2,kg/s,kg/s,kW
Time,"TC_Z020","TC_Z040","TC_Z060","TC_Z080","TC_Z100","TC_Z115","TC_Z135","TC_Z150","TC_Z165","TC_Z175","W_Z040","W_Z080","W_Z115","W_Z135","W_Z150","W_Z170","HFLUX_OUT_Z040","TWALL_OUT_Z040","HFLUX_OUT_Z080","TWALL_OUT_Z080","HFLUX_OUT_Z100","TWALL_OUT_Z100","HFLUX_OUT_Z135","TWALL_OUT_Z135","HFLUX_OUT_Z150","TWALL_OUT_Z150","HFLUX_OUT_Z170","TWALL_OUT_Z170","HFLUX_IN_Z135","HFLUX_IN_Z150","HFLUX_IN_Z170","MFLOW_UP_Z080","MFLOW_UP_Z150","HRR_TOTAL"
 4.5034787E+000, 4.7616392E+002, 2.2049147E+002, 1.5496808E+002, 1.0045525E+002, 8.4157008E+001, 6.6283884E+001, 1.9999993E+001, 2.0000006E+001, 2.0000010E+001, 1.9999961E+001, 1.0137480E+000,-2.0389578E-001, 2.8039003E-001, 4.8642418E-004,-1.4334878E-003, 2.6638820E-003, 1.9691826E+000, 2.0522886E+001, 5.6005665E-001, 2.0135296E+001, 3.6341132E-001, 2.0027619E+001, 7.2695247E-008, 2.0000000E+001,-5.8843009E-009, 2.0000000E+001,-3.0119161E-008, 2.0000000E+001,-3.1883276E-008,-5.2450766E-008,-1.0361205E-008, 4.3646906E-003, 1.3451661E-005, 2.4402999E+000
 5.0009613E+000, 6.0927224E+002, 3.4930622E+002, 1.3636429E+002, 1.8241412E+002, 1.7814832E+002, 9.8774384E+001, 1.9999993E+001, 2.0000005E+001, 2.0000011E+001, 1.9999958E+001, 1.2124823E+000, 7.7338129E-002, 2.2039007E-001, 4.1933462E-004,-1.1531373E-003, 2.4215519E-003, 2.5271485E+000, 2.0682539E+001, 9.4113261E-001, 2.0183604E+001, 8.8931851E-001, 2.0061203E+001, 6.9182450E-008, 2.0000000E+001,-5.1945770E-009, 2.0000000E+001,-3.1127754E-008, 2.0000000E+001,-3.3903043E-008,-4.7279088E-008,-1.7800834E-008, 7.9317435E-003, 1.1728012E-005, 2.9128393E+000
 5.5043340E+000, 9.1227168E+002, 4.1985255E+002, 1.4668992E+002, 1.6760594E+002, 1.9459719E+002, 1.9155701E+002, 1.9999992E+001, 2.0000004E+001, 2.0000012E+001, 1.9999956E+001, 1.4281351E+000, 3.9340890E-001, 2.4022064E-001, 3.7506074E-004,-9.2091083E-004, 2.1950325E-003, 4.7582688E+000, 2.0934241E+001, 9.5604314E-001, 2.0252769E+001, 1.1235631E+000, 2.0144061E+001, 6.5432710E-008, 2.0000000E+001,-4.9990976E-009, 2.0000000E+001,-3.2165243E-008, 2.0000000E+001,-3.5603510E-008,-4.2544688E-008,-2.4449690E-008, 1.0296577E-002, 1.0253316E-005, 3.2249504E+000
 6.0027929E+000, 3.8258592E+002, 2.5127770E+002, 2.0790841E+002, 2.7160404E+002, 1.9362649E+002, 1.6921193E+002, 1.9999992E+001, 2.0000002E+001, 2.0000013E+001, 1.9999954E+001, 7.2809003E-001, 8.5449957E-001, 3.3079601E-002, 3.3480791E-004,-7.2899925E-004, 1.9982641E-003, 2.7610580E+000, 2.1199705E+001, 1.6119800E+000, 2.0346260E+001, 1.1989076E+000, 2.0221122E+001, 6.1629732E-008, 2.0000000E+001,-5.0022199E-009, 2.0000000E+001,-3.3073958E-008, 2.0000000E+001,-3.6873625E-008,-3.8182847E-008,-3.0059077E-008, 4.5714930E-003, 9.0021630E-006, 3.4785722E+000
 6.5048530E+000, 2.4820189E+002, 2.3616405E+002, 3.7650196E+002, 2.8395814E+002, 1.7857348E+002, 1.8385870E+002, 1.9999992E+001, 2.0000001E+001, 2.0000014E+001, 1.9999954E+001, 6.4745765E-001, 3.9553885E-001, 2.2595588E-001, 3.0449431E-004,-5.8168608E-004, 1.8000450E-003, 2.0038106E+000, 2.1340812E+001, 1.7431445E+000, 2.0454778E+001, 9.7760215E-001, 2.0299679E+001, 5.7799197E-008, 2.0000000E+001,-5.2506783E-009, 2.0000000E+001,-3.3940380E-008, 2.0000000E+001,-3.7811018E-008,-3.4261386E-008,-3.4769818E-008, 3.4287214E-003, 7.8234583E-006, 3.6894816E+000
 7.0005714E+000, 3.2924072E+002, 5.5664854E+002, 2.8923025E+002, 2.5518263E+002, 1.6002718E+002, 1.8003323E+002, 1.9999992E+001, 2.0000001E+001, 2.0000015E+001, 1.9999953E+001, 7.3209064E-001, 2.1768080E-001, 1.9468421E-001, 2.7923246E-004,-4.5549625E-004, 1.6345813E-003, 5.6278114E+000, 2.1607391E+001, 1.5833544E+000, 2.0574948E+001, 7.4308196E-001, 2.0354365E+001, 5.4041806E-008, 2.0000000E+001,-5.6535416E-009, 2.0000000E+001,-3.4754689E-008, 2.0000000E+001,-3.8410928E-008,-3.0722960E-008,-3.8662326E-008, 3.9440021E-003, 6.8533887E-006, 4.0887258E+000
 7.5035923E+000, 4.1788101E+002, 5.9880604E+002, 2.6495692E+002, 2.9866477E+002, 1.7109606E+002, 1.5792951E+002, 1.9999992E+001, 2.0000000E+001, 2.0000016E+001, 1.9999953E+001, 1.1915899E+000,-1.3076343E-003, 1.1601042E-001, 2.6171873E-004,-3.4878353E-004, 1.4897406E-003, 4.5764230E+000, 2.1965067E+001, 1.9354199E+000, 2.0693350E+001, 8.2757232E-001, 2.0405674E+001, 5.0331772E-008, 2.0000000E+001,-6.1260419E-009, 2.0000000E+001,-3.5450539E-008, 2.0000000E+001,-3.8720554E-008,-2.7494497E-008,-4.1773501E-008, 4.5518375E-003, 6.0681487E-006, 3.6890988E+000
 8.0020454E+000, 8.8614870E+002, 4.3262622E+002, 2.9731296E+002, 3.6715000E+002, 1.5307022E+002, 1.7753471E+002, 1.9999992E+001, 1.9999999E+001, 2.0000017E+001, 1.9999954E+001, 5.6671033E-001, 2.8174137E-001, 1.7734220E-001, 2.4632844E-004,-2.6020411E-004, 1.3613987E-003, 4.3695170E+000, 2.2293497E+001, 2.5415088E+000, 2.0847251E+001, 7.5637524E-001, 2.0460410E+001, 4.6655581E-008, 2.0000000E+001,-6.6503514E-009, 2.0000000E+001,-3.6016623E-008, 2.0000000E+001,-3.8786384E-008,-2.4577636E-008,-4.4225081E-008, 5.0147499E-003, 5.4292069E-006, 4.4975156E+000
 8.5023322E+000, 7.4443129E+002, 4.2902649E+002, 4.5180409E+002, 3.9430508E+002, 2.9462316E+002, 2.0062644E+002, 1.9999992E+001, 1.9999999E+001, 2.0000017E+001, 1.9999954E+001, 5.9573133E-001, 6.6060634E-001, 2.1321443E-001, 2.3438217E-004,-1.9095388E-004, 1.2390450E-003, 4.1807281E+000, 2.2545160E+001, 3.3632038E+000, 2.1052435E+001, 1.6481830E+000, 2.0545904E+001, 4.3081835E-008, 2.0000000E+001,-7.1387218E-009, 2.0000000E+001,-3.6399470E-008, 2.0000000E+001,-3.8590237E-008,-2.1935315E-008,-4.6026683E-008, 3.4271838E-003, 4.8620844E-006, 5.2447839E+000
 9.0004719E+000, 4.6342373E+002, 8.0966395E+002, 4.0323042E+002, 3.8683030E+002, 3.5529038E+002, 2.8910883E+002, 1.9999992E+001, 1.9999998E+001, 2.0000018E+001, 1.9999955E+001, 1.1156502E+000, 7.1829542E-001, 4.2931782E-001, 2.2209478E-004,-1.3457716E-004, 1.1308803E-003, 9.2648930E+000, 2.3050495E+001, 3.1275741E+000, 2.1288347E+001, 2.3833849E+000, 2.0686228E+001, 3.9522500E-008, 2.0000000E+001,-7.6682292E-009, 2.0000000E+001,-3.6660233E-008, 2.0000000E+001,-3.8222363E-008,-1.9588960E-008,-4.7309091E-008, 5.5481284E-003, 4.3838252E-006, 4.9464086E+000
