s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 5.7003998E+001, 1.7692406E+000, 0.0000000E+000,-6.0376664E-001,-7.6253217E-001,-4.1589216E-001,-2.0223477E-004, 0.0000000E+000, 0.0000000E+000, 1.2375395E-003,-1.3152615E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.8005459E+001, 1.8047731E+000, 0.0000000E+000,-5.7729391E-001,-8.7968416E-001,-4.0187090E-001,-1.8817662E-004, 0.0000000E+000, 0.0000000E+000,-4.7914693E-002,-5.4264069E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 5.9005634E+001, 2.1203958E+000, 0.0000000E+000,-6.8751194E-001,-1.0493404E+000,-4.0076553E-001,-2.5213759E-004, 0.0000000E+000, 0.0000000E+000,-1.5408445E-002,-1.7474245E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.0005238E+001, 1.8631021E+000, 0.0000000E+000,-6.5715335E-001,-7.4839061E-001,-4.2474878E-001,-2.1996431E-004, 0.0000000E+000, 0.0000000E+000, 4.9009396E-002, 3.2589378E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.1004044E+001, 2.6148038E+000, 0.0000000E+000,-8.6857894E-001,-1.2782682E+000,-4.6494416E-001,-2.0938881E-004, 0.0000000E+000, 0.0000000E+000, 1.3082244E-002, 2.8031261E-003, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.2001163E+001, 2.1714912E+000, 0.0000000E+000,-7.0907021E-001,-1.0953873E+000,-4.6203361E-001,-2.1176990E-004, 0.0000000E+000, 0.0000000E+000,-7.4639211E-002,-9.5211695E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.3003681E+001, 2.0591751E+000, 0.0000000E+000,-6.7207972E-001,-9.3687069E-001,-4.4498782E-001,-2.3852435E-004, 0.0000000E+000, 0.0000000E+000, 1.8271758E-002, 4.9983087E-003, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.4002632E+001, 2.3400006E+000, 0.0000000E+000,-7.5942060E-001,-9.7643993E-001,-4.6332974E-001,-2.1301353E-004, 0.0000000E+000, 0.0000000E+000, 1.4838850E-001, 1.4059729E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.5000130E+001, 3.5933518E+000, 0.0000000E+000,-1.1539335E+000,-1.6117337E+000,-5.3425527E-001,-2.1265433E-004, 0.0000000E+000, 0.0000000E+000, 3.1388279E-001, 2.9321672E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.6005356E+001, 1.9130349E+000, 0.0000000E+000,-6.8870798E-001,-8.4588427E-001,-5.6171878E-001,-2.3384091E-004, 0.0000000E+000, 0.0000000E+000,-1.7114149E-001,-1.8350999E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.7005333E+001, 2.1892129E+000, 0.0000000E+000,-7.6803124E-001,-7.6665030E-001,-5.6124478E-001,-2.4942665E-004, 0.0000000E+000, 0.0000000E+000, 9.7880945E-002, 9.3037206E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.8001030E+001, 2.3357329E+000, 0.0000000E+000,-8.4345278E-001,-8.2111417E-001,-5.6814557E-001,-2.3029299E-004, 0.0000000E+000, 0.0000000E+000, 1.1320108E-001, 1.0279009E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 6.9003403E+001, 2.3039505E+000, 0.0000000E+000,-8.1155583E-001,-8.5807717E-001,-6.2698155E-001,-2.0336681E-004, 0.0000000E+000, 0.0000000E+000, 1.8601928E-002, 7.1325753E-003, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
